Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,ForceAmplification,DispShift,1st Mode,2nd Mode,3rd Mode,4th Mode,Xpeakstrength,Xdrift@peakstrength,Xdrift@80%peakstrength,Xdrift@20%residualstrength,Xarea,Zpeakstrength,Zdrift@peakstrength,Zdrift@80%peakstrength,Zdrift@20%residualstrength,Zarea,CollapseMedian
Building_T1-60x30-S3-GS_Existing3,3,393.717,3600,720,360,6351.5,6071,0.028593302,10.21561385,-0.22980193,-0.010656865,0.566616592,0.474982893,0.408869311,0.168353111,0.116863559,0.00345424,0.00180118,0.011583,0.00028668,0.122119093,0.00143479,0.00101622,0.00080864,0.000105826,0.626605324
Building_T1-60x30-S3-GS_Existing4,3,440.61,3600,720,360,6351.5,6071,0.030980377,11.93104835,-0.150100556,0.189012739,0.620006033,0.519443613,0.446454613,0.183171724,0.114852466,0.0035358,0.00183177,0.0117847,0.000289081,0.119966207,0.0014459,0.00102211,0.000801096,0.000104834,0.685671061
Building_T1-60x30-S3-GS_Existing5,3,379.09,3600,720,360,6351.5,6071,0.016959635,10.1895808,-0.057908566,-0.148639066,0.462337498,0.387671361,0.331822008,0.136834477,0.152018096,0.0029746,0.00159732,0.0108719,0.000319023,0.159741017,0.00126959,0.000890273,0.000876307,0.000123145,0.665286221
Building_T1-60x30-S3-GS_Existing6,3,414.129,3600,720,360,6351.5,6071,0.031691455,11.4786455,-0.227900358,-0.045147807,0.562957006,0.471417363,0.403673405,0.165954795,0.112191037,0.00294457,0.00154548,0.0101951,0.000234511,0.117366842,0.00120835,0.000854746,0.000725271,8.57E-05,0.621517413
Building_T1-60x30-S3-GS_Existing7,3,383.235,3600,720,360,6351.5,6071,0.016576892,9.643194595,0.263955078,0.12246818,0.465030901,0.389844706,0.334734088,0.138046116,0.201243143,0.00416441,0.00222926,0.0150135,0.000591582,0.211332843,0.00178709,0.00125834,0.0012161,0.000229083,0.861297039
Building_T1-60x30-S3-GS_Existing8,3,396.525,3600,720,360,6351.5,6071,0.045480841,10.53048725,-0.336744032,0.148396937,0.666529586,0.558942749,0.481086106,0.19821336,0.097547837,0.00388969,0.0019568,0.0120878,0.000271405,0.10161679,0.00158904,0.00112344,0.000866717,9.76E-05,0.62812197
Building_T1-60x30-S3-GS_Existing9,3,404.682,3600,720,360,6351.5,6071,0.045090909,11.72856604,-0.285300021,0.087755657,0.62599042,0.525843698,0.453724877,0.186305854,0.105014446,0.00332245,0.00172182,0.0109341,0.000248131,0.109679219,0.00139429,0.00098499,0.000781551,9.25E-05,0.658882124
Building_T1-60x30-S3-GS_Existing10,3,373.11,3600,720,360,6351.5,6071,0.023811925,9.920180136,-0.051943611,-0.114671211,0.463988861,0.388725167,0.333201065,0.137260432,0.155091391,0.00317547,0.00169924,0.0115171,0.000347903,0.162869188,0.00134722,0.000946041,0.000916035,0.000133258,0.68114066
Building_T1-100x30-S2-GS_Existing1,2,377.425,3000,1200,360,6450.75,4057,0.031838878,11.60580299,-0.168541357,0.192712217,0.473452611,0.37299057,0.326027681,0.167433598,0.271908416,0.0052166,0.0027838,0.0211832,0.001008825,0.154763277,0.00286739,0.00154829,0.0033456,0.000303931,0.894776487
Building_T1-100x30-S2-GS_Existing2,2,361.331,3000,1200,360,6450.75,4057,0.021911173,11.89700158,0.342329691,0.012049803,0.328793456,0.257982584,0.226565363,0.117732318,0.466474357,0.0042533,0.00229654,0.0188509,0.001406549,0.270520835,0.00267399,0.00128702,0.00298928,0.000520252,1.169908404
Building_T1-100x30-S2-GS_Existing3,2,349.855,3000,1200,360,6450.75,4057,0.032271705,9.072078494,-0.265235475,0.03010097,0.448581807,0.351785988,0.308782207,0.15902131,0.257804879,0.00574254,0.00303421,0.0228783,0.001055263,0.146044075,0.00310746,0.00166258,0.00357754,0.000311444,0.780621659
Building_T1-100x30-S2-GS_Existing4,2,390.281,3000,1200,360,6450.75,4057,0.032598862,10.64492256,-0.108512253,-0.051360758,0.409196676,0.321936544,0.281718017,0.145885656,0.283507908,0.00448765,0.00239855,0.0187779,0.000904614,0.162201937,0.00261236,0.00132569,0.00295869,0.000298155,0.844421004
Building_T1-100x30-S2-GS_Existing5,2,399.991,3000,1200,360,6450.75,4057,0.045152173,11.51028163,-0.312061723,0.15023537,0.520942053,0.407661073,0.357996556,0.185500612,0.210496269,0.00500354,0.00262281,0.0198675,0.000752193,0.118915271,0.00266267,0.00140957,0.00306185,0.00021802,0.808650163
Building_T1-100x30-S2-GS_Existing6,2,393.628,3000,1200,360,6450.75,4057,0.031134404,10.74955276,0.34928932,0.117031869,0.362551767,0.286574039,0.249776184,0.129174179,0.428127842,0.00526064,0.00283937,0.0225258,0.001597293,0.246619059,0.00331581,0.00161163,0.00359817,0.000587195,1.148870836
Building_T1-100x30-S2-GS_Existing7,2,365.629,3000,1200,360,6450.75,4057,0.013644687,11.4486011,-0.100652131,0.079411798,0.422507701,0.331598736,0.291083959,0.150136814,0.305427381,0.0047686,0.002557,0.0199274,0.001034488,0.174815588,0.00279557,0.00142743,0.00315954,0.000343322,0.854603109
Building_T1-100x30-S2-GS_Existing8,2,382.57,3000,1200,360,6450.75,4057,0.010813079,10.58083472,-0.068524318,-0.109473789,0.385023242,0.302269948,0.265170882,0.137232568,0.303158703,0.00423166,0.00226767,0.017978,0.000911237,0.174056289,0.00247798,0.00125767,0.00283466,0.000303419,0.791489789
Building_T1-100x30-S2-GS_Existing9,2,382.016,3000,1200,360,6450.75,4057,0.022464746,11.67635042,0.323906087,-0.152945005,0.313486423,0.246265676,0.216078398,0.111839089,0.435805634,0.00365642,0.00198371,0.0161986,0.001128046,0.253171642,0.00232137,0.00113012,0.0025972,0.000421606,1.049583688
Building_T1-100x30-S2-GS_Existing10,2,405.734,3000,1200,360,6450.75,4057,0.036340797,11.14085537,0.222557803,-0.058985367,0.356764287,0.281374223,0.245839461,0.126999009,0.376942699,0.00427655,0.00231412,0.0184433,0.001142152,0.217581132,0.00270346,0.00131597,0.00295006,0.000422,1.014467423
Building_T1-100x30-S3-GS_Existing1,3,594.62,6000,1200,360,10498.25,6370.5,0.035553167,9.464637908,-0.224588533,0.196948701,0.669184922,0.545638691,0.461823173,0.222195299,0.15502031,0.0047011,0.0024989,0.0153138,0.00051415,0.084452988,0.00287319,0.00162449,0.00300799,0.000164547,0.631426936
Building_T1-100x30-S3-GS_Existing2,3,604.566,6000,1200,360,10498.25,6370.5,0.027298436,10.77831203,-0.174589032,0.00380083,0.596506846,0.487363344,0.412329993,0.198427042,0.165851498,0.00349283,0.00190664,0.01219,0.000405906,0.092152453,0.00229715,0.0012638,0.00256126,0.000144629,0.611213274
Building_T1-100x30-S3-GS_Existing3,3,624.28,6000,1200,360,10498.25,6370.5,0.036459317,11.9582266,-0.245852251,-0.192479028,0.574320824,0.470541162,0.397430351,0.191088028,0.148099036,0.00255924,0.00141495,0.00917313,0.000264403,0.082946627,0.00173712,0.000950697,0.00198096,9.84E-05,0.540156211
Building_T1-100x30-S3-GS_Existing4,3,614.757,6000,1200,360,10498.25,6370.5,0.034167598,11.15060011,-0.205840182,0.003956403,0.609195108,0.496862652,0.420971302,0.202347549,0.15676276,0.00335888,0.00183313,0.0117282,0.00036924,0.086992935,0.00218537,0.00120341,0.00243973,0.000129863,0.590214922
Building_T1-100x30-S3-GS_Existing5,3,631.252,6000,1200,360,10498.25,6370.5,0.034344572,11.51602364,-0.313393712,0.193740306,0.739962646,0.605628829,0.510972142,0.245814663,0.129476459,0.00389967,0.00208231,0.0126246,0.000355532,0.070612397,0.00242533,0.00137311,0.00253966,0.000116066,0.607403379
Building_T1-100x30-S3-GS_Existing6,3,581.662,6000,1200,360,10498.25,6370.5,0.036586192,10.22803272,-0.253201299,0.144881899,0.658022392,0.535957175,0.454346047,0.218215373,0.153765586,0.00415508,0.00223123,0.0138994,0.000449624,0.08429615,0.00257281,0.00144941,0.00277778,0.000146976,0.629402662
Building_T1-100x30-S3-GS_Existing7,3,685.749,6000,1200,360,10498.25,6370.5,0.034004205,11.82962517,-0.120422422,0.121843097,0.655978439,0.536466615,0.453427761,0.217876902,0.155149127,0.00355727,0.00193378,0.0122149,0.000387001,0.085832703,0.00231413,0.00127644,0.00253494,0.000135692,0.636733204
Building_T1-100x30-S3-GS_Existing8,3,627.611,6000,1200,360,10498.25,6370.5,0.012964043,11.34866252,0.019529812,0.180689075,0.588240519,0.479419358,0.406528392,0.194530522,0.19795197,0.00385723,0.00211362,0.0137583,0.000535052,0.110260378,0.00251683,0.00137773,0.00286,0.000189727,0.685590301
Building_T1-100x30-S3-GS_Existing9,3,579.464,6000,1200,360,10498.25,6370.5,0.042947526,10.44015734,0.213153307,-0.072457385,0.464488506,0.380720596,0.32173406,0.154801981,0.259203058,0.00337217,0.00188603,0.0125611,0.000608249,0.146455126,0.0023408,0.00127318,0.00274824,0.000234193,0.817498357
Building_T1-100x30-S3-GS_Existing10,3,617.613,6000,1200,360,10498.25,6370.5,0.028438119,11.44128207,-0.014205231,0.041186746,0.566871815,0.464439141,0.392258269,0.188853094,0.195506166,0.00344782,0.00190247,0.0123238,0.000470718,0.109433718,0.0023351,0.00127698,0.00265736,0.000174618,0.686907843
Building_T1-60x30-S2-PS_Existing1,2,228.019,1800,720,360,4033.5,3642.25,0.044031626,10.57435319,-0.305672569,0.140308016,0.525012012,0.435076065,0.364831922,0.1822266,0.144671286,0.00535417,0.00326111,0.0310494,0.000538097,0.138978596,0.00357543,0.00184332,0.00370307,0.000350896,1.003819349
Building_T1-60x30-S2-PS_Existing2,2,238.413,1800,720,360,4033.5,3642.25,0.032962854,9.649384436,0.359070921,0.194604968,0.390157844,0.323909528,0.271465312,0.135805634,0.277870263,0.00616942,0.00381104,0.0422016,0.001182344,0.269292101,0.00428408,0.00226682,0.00485421,0.000812173,1.42738449
Building_T1-60x30-S2-PS_Existing3,2,263.666,1800,720,360,4033.5,3642.25,0.039423462,11.83201473,-0.394888374,0.146390357,0.60540023,0.501862427,0.420193669,0.210030739,0.107629581,0.00480625,0.00290397,0.025768,0.000360767,0.102972121,0.00315091,0.00160317,0.00313376,0.000229426,0.821641681
Building_T1-60x30-S2-PS_Existing4,2,222.286,1800,720,360,4033.5,3642.25,0.038800978,9.302790806,-0.383318001,-0.138641727,0.472742632,0.391607848,0.326395537,0.164925328,0.132317496,0.00457148,0.00278371,0.0273285,0.000420212,0.127279167,0.00303724,0.00155834,0.00321683,0.000273603,0.790042225
Building_T1-60x30-S2-PS_Existing5,2,233.286,1800,720,360,4033.5,3642.25,0.015118325,9.247183197,0.267811732,0.008690402,0.369563204,0.306780798,0.258588646,0.127888866,0.265726353,0.00545908,0.00338583,0.0373814,0.000998806,0.257798387,0.00384174,0.00205252,0.00438499,0.000695673,1.21686523
Building_T1-60x30-S2-PS_Existing6,2,215.062,1800,720,360,4033.5,3642.25,0.029890787,9.454649456,-0.017312978,0.01928137,0.403065364,0.334015615,0.278835689,0.1406567,0.221970613,0.00533576,0.00328578,0.0362875,0.000818176,0.214870735,0.00364542,0.0019057,0.00410672,0.000552964,1.145053559
Building_T1-60x30-S2-PS_Existing7,2,231.902,1800,720,360,4033.5,3642.25,0.024656304,10.14515455,0.081090751,0.101947898,0.414782036,0.344384128,0.289159938,0.144026513,0.226589728,0.00541585,0.00334117,0.0367405,0.000846877,0.219392837,0.00375479,0.00198465,0.00421232,0.000579838,1.202071389
Building_T1-60x30-S2-PS_Existing8,2,249.23,1800,720,360,4033.5,3642.25,0.015762452,10.01984848,-0.339132518,-0.130795514,0.491195795,0.407255397,0.341312925,0.170593298,0.126625671,0.0043106,0.00263422,0.0258295,0.000378343,0.121849301,0.00290183,0.00150489,0.00304967,0.000249451,0.71693913
Building_T1-60x30-S2-PS_Existing9,2,242.171,1800,720,360,4033.5,3642.25,0.019332643,10.53858351,0.255447978,0.144179789,0.401228469,0.332843317,0.278692829,0.139888263,0.253062043,0.00539578,0.00333529,0.0370881,0.000941248,0.245371704,0.00374607,0.00198021,0.00426886,0.000647414,1.293786073
Building_T1-60x30-S2-PS_Existing10,2,249.899,1800,720,360,4033.5,3642.25,0.027215547,11.59461095,0.171172304,0.086131409,0.4106472,0.340074446,0.283680892,0.143358267,0.229187268,0.00462442,0.0028557,0.032069,0.000731168,0.222364084,0.00317211,0.00166044,0.00365346,0.00049809,1.267639575
Building_T1-60x30-S3-PS_Existing1,3,422.199,3600,720,360,6351.5,6071,0.020792407,10.29525681,0.070047694,-0.043861223,0.571962579,0.477132272,0.419704786,0.185202936,0.120135429,0.00341444,0.00210149,0.0177359,0.000280727,0.115330707,0.00299836,0.00149537,0.00282363,0.000244086,0.751656925
Building_T1-60x30-S3-PS_Existing2,3,402.288,3600,720,360,6351.5,6071,0.015244547,11.47969861,-0.095166659,0.15775785,0.675568911,0.563469283,0.495284978,0.217747519,0.104954883,0.00369311,0.00225716,0.0175484,0.00026624,0.100252662,0.00315873,0.00156566,0.00284671,0.000223587,0.7277104
Building_T1-60x30-S3-PS_Existing3,3,363.817,3600,720,360,6351.5,6071,0.01457355,9.138790227,-0.006687968,0.072361475,0.582636471,0.48579008,0.425647666,0.187908044,0.127854479,0.00426899,0.00261404,0.0208193,0.000374785,0.122259328,0.00362582,0.00180236,0.00331888,0.000313252,0.748011958
Building_T1-60x30-S3-PS_Existing4,3,390.385,3600,720,360,6351.5,6071,0.048282029,10.79569085,-0.171094658,0.017989485,0.644710877,0.537568945,0.471153936,0.207574313,0.099157539,0.00343133,0.00209717,0.0164693,0.000233812,0.094749355,0.00290513,0.00144099,0.00263486,0.000194528,0.749793942
Building_T1-60x30-S3-PS_Existing5,3,395.968,3600,720,360,6351.5,6071,0.026870307,11.587044,0.183366565,-0.17110799,0.489167993,0.408571578,0.358818021,0.1581613,0.145082885,0.00263616,0.00164457,0.0161146,0.000259898,0.140420938,0.00240679,0.00121541,0.00241169,0.000238293,0.858067487
Building_T1-60x30-S3-PS_Existing6,3,398.303,3600,720,360,6351.5,6071,0.044890811,10.54359702,-0.328120276,-0.037971287,0.704644529,0.586846435,0.512821167,0.225922468,0.077301376,0.00327437,0.00198462,0.0144094,0.000174786,0.073526263,0.00258298,0.00130111,0.00226459,0.000133082,0.614130385
Building_T1-60x30-S3-PS_Existing7,3,404.547,3600,720,360,6351.5,6071,0.024769796,10.7268948,0.294228715,0.162678194,0.558143415,0.465780607,0.407845247,0.17987454,0.152446228,0.00394986,0.00244423,0.0213778,0.00041145,0.146594638,0.00344752,0.00172167,0.00329255,0.000357025,0.962895166
Building_T1-60x30-S3-PS_Existing8,3,428.442,3600,720,360,6351.5,6071,0.030696219,11.90256975,-0.075562171,-0.151835228,0.586584501,0.48979807,0.430210776,0.189934184,0.102978186,0.00262461,0.00162419,0.0142233,0.000184435,0.099070329,0.00233612,0.00116607,0.00222846,0.000163257,0.707782534
Building_T1-60x30-S3-PS_Existing9,3,375.124,3600,720,360,6351.5,6071,0.038992477,9.046482727,-0.257363527,0.010769538,0.673405444,0.561115898,0.492701416,0.217407365,0.090306509,0.00407028,0.00245358,0.017288,0.000254075,0.085808549,0.00327817,0.00164853,0.00281823,0.000196814,0.628424738
Building_T1-60x30-S3-PS_Existing10,3,402.162,3600,720,360,6351.5,6071,0.027993405,9.911800038,0.380097362,-0.136435909,0.461112127,0.384985802,0.337758266,0.149449218,0.166140824,0.00319666,0.00199005,0.0192222,0.000361579,0.160660042,0.00288401,0.00144735,0.00288474,0.000327203,0.892820116
Building_T1-100x30-S2-PS_Existing1,2,377.941,3000,1200,360,6450.75,4057,0.027446159,10.84095496,-0.387196084,-0.129697066,0.560129741,0.4257484,0.372635986,0.218883246,0.15679079,0.00409312,0.00253287,0.0264948,0.000441501,0.076609148,0.00426669,0.00182572,0.0238546,0.000252881,0.686348444
Building_T1-100x30-S2-PS_Existing2,2,376.413,3000,1200,360,6450.75,4057,0.027594701,11.46242371,0.251137522,-0.155973322,0.386266972,0.294508882,0.257501172,0.150241764,0.329614519,0.00379816,0.00238077,0.0259784,0.000854599,0.170780281,0.00402274,0.00196074,0.0250463,0.000510549,1.177049404
Building_T1-100x30-S2-PS_Existing3,2,385.112,3000,1200,360,6450.75,4057,0.01817607,11.95073558,0.008293824,-0.163517577,0.429385422,0.326953006,0.286100654,0.167487722,0.258551035,0.00359771,0.00224866,0.0245194,0.000636338,0.1327889,0.00379788,0.00181878,0.0234497,0.00037716,0.960044835
Building_T1-100x30-S2-PS_Existing4,2,345.966,3000,1200,360,6450.75,4057,0.028417944,9.72587372,-0.135225884,-0.005927097,0.481146897,0.366042994,0.320349231,0.188174234,0.243658677,0.00521782,0.00324309,0.0350192,0.000873101,0.121442763,0.00546269,0.00244376,0.0324431,0.0005068,0.939480209
Building_T1-100x30-S2-PS_Existing5,2,343.897,3000,1200,360,6450.75,4057,0.017166975,9.142172578,0.28460387,-0.059043023,0.380985835,0.290030191,0.254101217,0.149783979,0.368626397,0.00523659,0.00327246,0.0359708,0.001321656,0.189008854,0.00551014,0.00259954,0.0343316,0.000782153,1.142196167
Building_T1-100x30-S2-PS_Existing6,2,388.7,3000,1200,360,6450.75,4057,0.032557536,11.84191071,0.165976381,0.094335246,0.459970135,0.3501969,0.306451636,0.179726495,0.295136403,0.00473912,0.002959,0.0321602,0.000957989,0.150327857,0.00499172,0.00234506,0.030505,0.000564698,1.238707163
Building_T1-100x30-S2-PS_Existing7,2,368.509,3000,1200,360,6450.75,4057,0.038616997,9.64120404,0.023212578,0.051967786,0.465758724,0.35401615,0.310198993,0.182498121,0.271066894,0.00556615,0.00346172,0.0374743,0.001036269,0.135608441,0.00583077,0.00263018,0.0348843,0.000602724,1.079642317
Building_T1-100x30-S2-PS_Existing8,2,371.982,3000,1200,360,6450.75,4057,0.047616184,11.98683022,-0.366077995,0.079223423,0.601527038,0.456222091,0.400230003,0.236384096,0.164293041,0.00455716,0.00281578,0.0290187,0.000516177,0.079727245,0.00409429,0.00197988,0.0255565,0.000242812,0.870673919
Building_T1-100x30-S2-PS_Existing9,2,365.983,3000,1200,360,6450.75,4057,0.047492098,9.531305526,0.189057317,-0.12274553,0.394152504,0.300028997,0.262779338,0.154651667,0.320372995,0.00469918,0.0029333,0.0321376,0.001031302,0.164032851,0.00494535,0.00233505,0.0306428,0.00060942,1.208644105
Building_T1-100x30-S2-PS_Existing10,2,377.693,3000,1200,360,6450.75,4057,0.018818318,10.89187454,-0.296565198,-0.168933091,0.513329563,0.391029165,0.341364201,0.19820261,0.18153383,0.00393972,0.00244808,0.0261681,0.000490459,0.090467062,0.00413999,0.00187452,0.0242554,0.000285123,0.700239405
Building_T1-100x30-S3-PS_Existing1,3,646.155,6000,1200,360,10498.25,6370.5,0.013935856,11.70894662,-0.219507908,-0.152006848,0.721812747,0.551605212,0.474565832,0.252364744,0.11566471,0.00280966,0.00176462,0.0150405,0.000220037,0.055507329,0.00281606,0.00140007,0.0131164,0.000112667,0.54302817
Building_T1-100x30-S3-PS_Existing2,3,576.987,6000,1200,360,10498.25,6370.5,0.016172971,10.06957119,-0.192332677,0.127260288,0.769406861,0.587442979,0.504812115,0.269234137,0.131529586,0.00430089,0.00267726,0.0205867,0.000385142,0.061644742,0.00390978,0.00202584,0.0161841,0.000171034,0.617330232
Building_T1-100x30-S3-PS_Existing3,3,621.683,6000,1200,360,10498.25,6370.5,0.047138505,11.76254381,0.196200036,-0.143557636,0.567938619,0.434523572,0.374167793,0.198799106,0.188087662,0.00285347,0.00179665,0.0169267,0.000362927,0.094378143,0.00348738,0.00161884,0.0162959,0.000246099,0.914833713
Building_T1-100x30-S3-PS_Existing4,3,616.366,6000,1200,360,10498.25,6370.5,0.046878449,11.8675126,-0.160212014,-0.170958162,0.662482054,0.506787602,0.436220832,0.231397517,0.131543544,0.00267898,0.00168743,0.0153475,0.000238286,0.06404607,0.00299452,0.00136812,0.0140796,0.000142796,0.686288037
Building_T1-100x30-S3-PS_Existing5,3,562.194,6000,1200,360,10498.25,6370.5,0.045212006,9.475471725,-0.07356419,-0.127202785,0.62133392,0.475220717,0.408938237,0.217539323,0.158399264,0.00354262,0.00222751,0.0196175,0.000379875,0.076484393,0.00364882,0.00177562,0.0175014,0.000203049,0.725782318
Building_T1-100x30-S3-PS_Existing6,3,652.533,6000,1200,360,10498.25,6370.5,0.042778739,11.67343067,-0.238745259,0.046533891,0.809560516,0.61815164,0.53164676,0.282805069,0.109943315,0.00342961,0.00213604,0.0167734,0.000256544,0.051710077,0.00311485,0.00162121,0.013371,0.000114177,0.619073398
Building_T1-100x30-S3-PS_Existing7,3,604.975,6000,1200,360,10498.25,6370.5,0.029786207,10.26214346,0.375177728,0.049475929,0.574440824,0.439521813,0.378612668,0.201358403,0.220737847,0.00391462,0.00247039,0.0234524,0.000583663,0.109001724,0.00472386,0.00207666,0.0220345,0.000389407,0.943720064
Building_T1-100x30-S3-PS_Existing8,3,598.732,6000,1200,360,10498.25,6370.5,0.033933419,10.05453944,-0.284610694,0.056226915,0.798281617,0.608831212,0.523852942,0.27870163,0.111413227,0.00398759,0.00246358,0.0184663,0.000303523,0.0517998,0.00340171,0.00182096,0.0139454,0.000123499,0.556997117
Building_T1-100x30-S3-PS_Existing9,3,599.911,6000,1200,360,10498.25,6370.5,0.043241877,11.50365465,-0.34725845,0.147199041,0.880548418,0.671677197,0.577401103,0.307291676,0.101087685,0.00380347,0.00234843,0.0171949,0.000262732,0.046825842,0.00325393,0.00172974,0.0125454,0.000106891,0.592621123
Building_T1-100x30-S3-PS_Existing10,3,644.416,6000,1200,360,10498.25,6370.5,0.042131133,11.85862552,-0.314094519,0.021689472,0.833149217,0.635498601,0.547278628,0.290583311,0.099914422,0.00326858,0.00202562,0.0157317,0.000222566,0.046771401,0.00292295,0.00151664,0.0122729,9.71E-05,0.582155243
Building_T2-60x50-S2-GS_Existing1,2,357.659,3000,720,600,6177,4857.5,0.038444778,9.835738262,0.2942429,-0.096822283,0.299497554,0.259746085,0.205326088,0.098402192,0.398224418,0.00441806,0.0020541,0.0189775,0.001292747,0.345142004,0.00453254,0.00231898,0.0178859,0.001100961,1.163479833
Building_T2-60x50-S2-GS_Existing2,2,367.23,3000,720,600,6177,4857.5,0.021915773,10.53214561,-0.022842576,0.131958069,0.393064294,0.34121648,0.270554119,0.129239773,0.288192563,0.00518872,0.00238642,0.0210947,0.001101863,0.250162152,0.00532831,0.00267327,0.0198661,0.000941606,0.974292205
Building_T2-60x50-S2-GS_Existing3,2,352.691,3000,720,600,6177,4857.5,0.033187531,10.44505511,0.197953423,-0.17019183,0.297934145,0.258124268,0.204762827,0.097916063,0.374575234,0.00384165,0.00179816,0.0165507,0.001055092,0.324593185,0.00393415,0.00201694,0.0155943,0.000898007,1.091862263
Building_T2-60x50-S2-GS_Existing4,2,359.391,3000,720,600,6177,4857.5,0.020985556,11.71054037,-0.234950601,0.118779665,0.436246696,0.379193116,0.300804015,0.143433777,0.22945069,0.00461506,0.00211041,0.0184725,0.000781383,0.199262959,0.00474264,0.00236177,0.0173937,0.000668704,0.842348532
Building_T2-60x50-S2-GS_Existing5,2,382.181,3000,720,600,6177,4857.5,0.018867607,11.06774764,-0.135002836,-0.066791149,0.386672128,0.336568085,0.267798408,0.127158283,0.245961084,0.00412233,0.00191936,0.016765,0.000744465,0.213440645,0.00421189,0.00212814,0.0157774,0.000634269,0.824277997
