Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,1st Mode,2nd Mode,Xpeakstrength,Xdrift@peakstrength,Xdrift@80%peakstrength,Xdrift@20%residualstrength,Zpeakstrength,Zdrift@peakstrength,Zdrift@80%peakstrength,Zdrift@20%residualstrength
Building_T1-60x30-S3-GS_Existing1,3,435.661,3600,720,360,6351.5,6071,0.038825621,11.58959352,0.527008647,0.442209379,0.156284214,0.00348414,0.00185962,0.0123913,0.163908294,0.00148779,0.00104969,0.000981185
Building_T1-60x30-S3-GS_Existing2,3,433.176,3600,720,360,6351.5,6071,0.046135973,11.30313177,0.472233643,0.39654043,0.179402188,0.00327367,0.00176747,0.0120494,0.188723622,0.0014277,0.00100204,0.00101986
Building_T1-60x30-S3-GS_Existing3,3,393.717,3600,720,360,6351.5,6071,0.028593302,10.21561385,0.566616592,0.474982893,0.116863559,0.00345424,0.00180118,0.011583,0.122119093,0.00143479,0.00101622,0.00080864
Building_T1-60x30-S3-GS_Existing4,3,440.61,3600,720,360,6351.5,6071,0.030980377,11.93104835,0.620006033,0.519443613,0.114852466,0.0035358,0.00183177,0.0117847,0.119966207,0.0014459,0.00102211,0.000801096
Building_T1-60x30-S3-GS_Existing5,3,379.09,3600,720,360,6351.5,6071,0.016959635,10.1895808,0.462337498,0.387671361,0.152018096,0.0029746,0.00159732,0.0108719,0.159741017,0.00126959,0.000890273,0.000876307
Building_T1-60x30-S3-GS_Existing6,3,414.129,3600,720,360,6351.5,6071,0.031691455,11.4786455,0.562957006,0.471417363,0.112191037,0.00294457,0.00154548,0.0101951,0.117366842,0.00120835,0.000854746,0.000725271
Building_T1-60x30-S3-GS_Existing7,3,383.235,3600,720,360,6351.5,6071,0.016576892,9.643194595,0.465030901,0.389844706,0.201243143,0.00416441,0.00222926,0.0150135,0.211332843,0.00178709,0.00125834,0.0012161
Building_T1-60x30-S3-GS_Existing8,3,396.525,3600,720,360,6351.5,6071,0.045480841,10.53048725,0.666529586,0.558942749,0.097547837,0.00388969,0.0019568,0.0120878,0.10161679,0.00158904,0.00112344,0.000866717
Building_T1-60x30-S3-GS_Existing9,3,404.682,3600,720,360,6351.5,6071,0.045090909,11.72856604,0.62599042,0.525843698,0.105014446,0.00332245,0.00172182,0.0109341,0.109679219,0.00139429,0.00098499,0.000781551
Building_T1-60x30-S3-GS_Existing10,3,373.11,3600,720,360,6351.5,6071,0.023811925,9.920180136,0.463988861,0.388725167,0.155091391,0.00317547,0.00169924,0.0115171,0.162869188,0.00134722,0.000946041,0.000916035
Building_T1-100x30-S2-GS_Existing1,2,377.425,3000,1200,360,6450.75,4057,0.031838878,11.60580299,0.473452611,0.37299057,0.271908416,0.0052166,0.0027838,0.0211832,0.154763277,0.00286739,0.00154829,0.0033456
Building_T1-100x30-S2-GS_Existing2,2,361.331,3000,1200,360,6450.75,4057,0.021911173,11.89700158,0.328793456,0.257982584,0.466474357,0.0042533,0.00229654,0.0188509,0.270520835,0.00267399,0.00128702,0.00298928
Building_T1-100x30-S2-GS_Existing3,2,349.855,3000,1200,360,6450.75,4057,0.032271705,9.072078494,0.448581807,0.351785988,0.257804879,0.00574254,0.00303421,0.0228783,0.146044075,0.00310746,0.00166258,0.00357754
Building_T1-100x30-S2-GS_Existing4,2,390.281,3000,1200,360,6450.75,4057,0.032598862,10.64492256,0.409196676,0.321936544,0.283507908,0.00448765,0.00239855,0.0187779,0.162201937,0.00261236,0.00132569,0.00295869
Building_T1-100x30-S2-GS_Existing5,2,399.991,3000,1200,360,6450.75,4057,0.045152173,11.51028163,0.520942053,0.407661073,0.210496269,0.00500354,0.00262281,0.0198675,0.118915271,0.00266267,0.00140957,0.00306185
Building_T1-100x30-S2-GS_Existing6,2,393.628,3000,1200,360,6450.75,4057,0.031134404,10.74955276,0.362551767,0.286574039,0.428127842,0.00526064,0.00283937,0.0225258,0.246619059,0.00331581,0.00161163,0.00359817
Building_T1-100x30-S2-GS_Existing7,2,365.629,3000,1200,360,6450.75,4057,0.013644687,11.4486011,0.422507701,0.331598736,0.305427381,0.0047686,0.002557,0.0199274,0.174815588,0.00279557,0.00142743,0.00315954
Building_T1-100x30-S2-GS_Existing8,2,382.57,3000,1200,360,6450.75,4057,0.010813079,10.58083472,0.385023242,0.302269948,0.303158703,0.00423166,0.00226767,0.017978,0.174056289,0.00247798,0.00125767,0.00283466
Building_T1-100x30-S2-GS_Existing9,2,382.016,3000,1200,360,6450.75,4057,0.022464746,11.67635042,0.313486423,0.246265676,0.435805634,0.00365642,0.00198371,0.0161986,0.253171642,0.00232137,0.00113012,0.0025972
Building_T1-100x30-S2-GS_Existing10,2,405.734,3000,1200,360,6450.75,4057,0.036340797,11.14085537,0.356764287,0.281374223,0.376942699,0.00427655,0.00231412,0.0184433,0.217581132,0.00270346,0.00131597,0.00295006
Building_T1-100x30-S3-GS_Existing1,3,594.62,6000,1200,360,10498.25,6370.5,0.035553167,9.464637908,0.669184922,0.545638691,0.15502031,0.0047011,0.0024989,0.0153138,0.084452988,0.00287319,0.00162449,0.00300799
Building_T1-100x30-S3-GS_Existing2,3,604.566,6000,1200,360,10498.25,6370.5,0.027298436,10.77831203,0.596506846,0.487363344,0.165851498,0.00349283,0.00190664,0.01219,0.092152453,0.00229715,0.0012638,0.00256126
Building_T1-100x30-S3-GS_Existing3,3,624.28,6000,1200,360,10498.25,6370.5,0.036459317,11.9582266,0.574320824,0.470541162,0.148099036,0.00255924,0.00141495,0.00917313,0.082946627,0.00173712,0.000950697,0.00198096
Building_T1-100x30-S3-GS_Existing4,3,614.757,6000,1200,360,10498.25,6370.5,0.034167598,11.15060011,0.609195108,0.496862652,0.15676276,0.00335888,0.00183313,0.0117282,0.086992935,0.00218537,0.00120341,0.00243973
Building_T1-100x30-S3-GS_Existing5,3,631.252,6000,1200,360,10498.25,6370.5,0.034344572,11.51602364,0.739962646,0.605628829,0.129476459,0.00389967,0.00208231,0.0126246,0.070612397,0.00242533,0.00137311,0.00253966
Building_T1-100x30-S3-GS_Existing6,3,581.662,6000,1200,360,10498.25,6370.5,0.036586192,10.22803272,0.658022392,0.535957175,0.153765586,0.00415508,0.00223123,0.0138994,0.08429615,0.00257281,0.00144941,0.00277778
Building_T1-100x30-S3-GS_Existing7,3,685.749,6000,1200,360,10498.25,6370.5,0.034004205,11.82962517,0.655978439,0.536466615,0.155149127,0.00355727,0.00193378,0.0122149,0.085832703,0.00231413,0.00127644,0.00253494
Building_T1-100x30-S3-GS_Existing8,3,627.611,6000,1200,360,10498.25,6370.5,0.012964043,11.34866252,0.588240519,0.479419358,0.19795197,0.00385723,0.00211362,0.0137583,0.110260378,0.00251683,0.00137773,0.00286
