,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost
11268,34.19072,-118.48428,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,38246.44009298909
11269,34.19433,-118.48505,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18359.21864917737
11270,34.25483,-118.48518999999999,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,23925.61527197877
11271,34.19429,-118.48546999999999,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,25875.79658072104
11272,34.19426,-118.48655,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,35404.62909598775
11273,34.04837,-118.48992,3,L3,HWS,50X30,4500.0,L3-3S-50X30-HWS,4,27705.511892545168
11274,34.1924,-118.49181000000002,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,31149.946011100434
11275,34.19064,-118.49181000000002,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,18134.377393270956
11276,34.19267,-118.49181999999999,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19988.878648927286
11277,34.19295,-118.49188999999998,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,32739.114762344583
11278,34.19113,-118.49195,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,54792.676463283606
11279,34.193909999999995,-118.49238000000001,3,L3,GWB,50X30,4500.0,L3-3S-50X30-GWB,4,24372.225317998753
11280,34.19473,-118.49266000000001,2,L1,GWB,60X30,3600.0,L1-2S-60X30-GWB,4,24608.827912853812
11281,34.1946,-118.49266000000001,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,31902.523366506215
11282,34.15872,-118.49276,2,L4,GWB,100X50,10000.0,L4-2S-100X50-GWB,10,51672.42405936237
11283,34.2711,-118.49349,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,36587.25642046177
