Index,NoDamage,Slight,Moderate,Severe,Complete,Collapse
Building_T2-60x50-S3-PS_Ordinance,0.094800272,0.372086643,0.627022905,0.889473368,0.987732545,0.987732545
Building_T2-100x50-S2-PS_Ordinance,0.100401229,0.388911674,0.742239897,1.089839786,1.298458552,1.303330998
Building_T2-100x50-S3-PS_Ordinance,0.098578191,0.314978439,0.509927928,0.713680011,0.75339302,0.75339302
Building_T3-50x30-S2-GS_Ordinance,0.26147676,0.766081005,1.248283907,1.418073447,1.436462271,1.436958635
Building_T3-50x30-S3-GS_Ordinance,0.16573964,0.625078297,0.852400822,0.978292051,1.000279497,1.000279497
Building_T3-80x30-S2-GS_Ordinance,0.240390656,0.735736327,1.215323096,1.330663852,1.335984796,1.336101414
Building_T3-80x30-S3-GS_Ordinance,0.17632292,0.617573745,0.854211774,0.929747009,0.929749009,0.930098805
Building_T3-50x30-S2-PS_Ordinance,0.215993276,0.655540348,1.10083186,1.441271642,1.537502372,1.549996235
Building_T3-50x30-S3-PS_Ordinance,0.163377296,0.544803738,0.831712556,1.084021305,1.163978077,1.163978077
Building_T3-80x30-S2-PS_Ordinance,0.159822399,0.582334959,0.945917752,1.294114475,1.466774621,1.472065711
Building_T3-80x30-S3-PS_Ordinance,0.126548503,0.382465785,0.608502544,0.827998378,0.916994725,0.916994725
Building_T4-60x50-S2-GS_Ordinance,0.287069272,0.757431057,1.167891149,1.350511814,1.38492486,1.38492486
Building_T4-60x50-S3-GS_Ordinance,0.182960179,0.580524999,0.843648677,0.945459506,0.946895093,0.946895093
Building_T4-100x50-S2-GS_Ordinance,0.241273786,0.67452541,1.015489264,1.113871121,1.1196427,1.1196427
Building_T4-100x50-S3-GS_Ordinance,0.17370575,0.523837644,0.750780872,0.822346523,0.823632232,0.823653053
Building_T4-60x50-S2-PS_Ordinance,0.18375166,0.578062982,0.962928523,1.309440551,1.48132171,1.487210091
Building_T4-60x50-S3-PS_Ordinance,0.146331502,0.484446985,0.773518151,1.054773384,1.162081481,1.162081481
Building_T4-100x50-S2-PS_Ordinance,0.137780964,0.459098237,0.753065694,1.024784338,1.107516075,1.109371936
Building_T4-100x50-S3-PS_Ordinance,0.118838085,0.370068046,0.57158073,0.769519133,0.837254853,0.837254853
Building_T1-60x30-S2-GS_FEMA,0.208445018,0.604589633,1.026890849,1.387230724,1.435566821,1.442402639
Building_T1-60x30-S3-GS_FEMA,0.138498608,0.464333011,0.845451589,1.075817828,1.090606067,1.100325553
Building_T1-100x30-S2-GS_FEMA,0.188159012,0.587643982,0.975835471,1.120193182,1.135720186,1.138140346
Building_T1-100x30-S3-GS_FEMA,0.12669072,0.479834619,0.741069685,0.801649732,0.802926812,0.802979468
Building_T1-60x30-S2-PS_FEMA,0.175957564,0.546542562,1.044244008,1.455647763,1.731958408,1.746221164
Building_T1-60x30-S3-PS_FEMA,0.144619676,0.485909617,0.780741145,1.070588383,1.195512394,1.19562125
Building_T1-100x30-S2-PS_FEMA,0.179933329,0.489426006,0.82297721,1.179092795,1.40228873,1.412735355
Building_T1-100x30-S3-PS_FEMA,0.126893733,0.366694864,0.576533377,0.814450809,0.89925215,0.905914919
Building_T2-60x50-S2-GS_FEMA,0.187725675,0.543452409,0.898942193,1.162840082,1.192802295,1.192802295
Building_T2-60x50-S3-GS_FEMA,0.145214889,0.484181107,0.834083801,1.021890836,1.053645395,1.059680192
Building_T2-100x50-S2-GS_FEMA,0.151317997,0.483762914,0.849883328,1.059727865,1.089531381,1.090809972
Building_T2-100x50-S3-GS_FEMA,0.112762094,0.415379887,0.679564254,0.8091438,0.823841009,0.824635539
Building_T2-60x50-S2-PS_FEMA,0.139653507,0.49952343,0.985192864,1.493517529,1.710106615,1.719777361
Building_T2-60x50-S3-PS_FEMA,0.108250305,0.414398785,0.67352047,0.975893131,1.106746231,1.108212187
Building_T2-100x50-S2-PS_FEMA,0.094227916,0.473803651,0.869822302,1.304983378,1.475656535,1.475656535
Building_T2-100x50-S3-PS_FEMA,0.111841801,0.331233049,0.508804592,0.726400129,0.807356046,0.807356046
Building_T3-50x30-S2-GS_FEMA,0.252709934,0.715959068,1.206955676,1.468704381,1.487227979,1.487227979
Building_T3-50x30-S3-GS_FEMA,0.151911736,0.52542237,0.865050364,0.978707832,0.985843494,0.990967547
Building_T3-80x30-S2-GS_FEMA,0.216887177,0.645920656,1.060934795,1.272098178,1.278131615,1.278677672
Building_T3-80x30-S3-GS_FEMA,0.156456057,0.562795912,0.844236429,0.953809949,0.95502141,0.956356549
Building_T3-50x30-S2-PS_FEMA,0.247353044,0.703765803,1.147749895,1.494660508,1.647790764,1.653562201
Building_T3-50x30-S3-PS_FEMA,0.184077619,0.551561906,0.856111812,1.115137063,1.193319879,1.193319879
Building_T3-80x30-S2-PS_FEMA,0.205038952,0.56476862,0.967637102,1.323709909,1.55449345,1.559463636
Building_T3-80x30-S3-PS_FEMA,0.118331396,0.386379002,0.663323799,0.91449811,0.998552659,0.999329118
Building_T4-60x50-S2-GS_FEMA,0.281794735,0.745101819,1.164725984,1.34080649,1.346267281,1.351253409
Building_T4-60x50-S3-GS_FEMA,0.178848448,0.580076591,0.855810311,0.947629523,0.951932447,0.951932447
Building_T4-100x50-S2-GS_FEMA,0.231797866,0.657659242,1.00372413,1.085609308,1.092864087,1.092999487
Building_T4-100x50-S3-GS_FEMA,0.160443591,0.510195505,0.739909049,0.792291434,0.792769749,0.792785174
Building_T4-60x50-S2-PS_FEMA,0.19779118,0.588787092,0.972648217,1.357892893,1.559653815,1.561529433
Building_T4-60x50-S3-PS_FEMA,0.161812587,0.478787209,0.750893122,1.027088646,1.118750508,1.1220823
Building_T4-100x50-S2-PS_FEMA,0.151554806,0.460473197,0.789924731,1.087389348,1.177894846,1.179009773
Building_T4-100x50-S3-PS_FEMA,0.118839404,0.370342635,0.574322005,0.772268712,0.804815793,0.804815793
Building_T1-60x30-S2-GS_IEBC,0.307312564,0.834098562,1.303686505,1.777080868,2.00364964,2.020963069
Building_T1-60x30-S3-GS_IEBC,0.214903646,0.686121598,0.973195814,1.056096387,1.061314994,1.06162134
Building_T1-100x30-S2-GS_IEBC,0.25250344,0.659449155,1.067909471,1.418695928,1.553881769,1.572060142
Building_T1-100x30-S3-GS_IEBC,0.194902318,0.567800686,0.855128037,0.887624243,0.889754437,0.890999619
Building_T1-60x30-S2-PS_IEBC,0.262058896,0.702212078,1.210097887,1.774784556,2.259751314,2.310082245
Building_T1-60x30-S3-PS_IEBC,0.153535674,0.498858548,0.794903884,1.110379955,1.233017191,1.233130003
Building_T1-100x30-S2-PS_IEBC,0.165627107,0.504605028,0.888344389,1.261685602,1.607166618,1.6301366
Building_T1-100x30-S3-PS_IEBC,0.103746971,0.409199087,0.655646406,0.903801864,0.995089183,0.995089183
Building_T2-60x50-S2-GS_IEBC,0.300121522,0.928069894,1.492064335,1.733995206,1.808555576,1.808555576
Building_T2-60x50-S3-GS_IEBC,0.208678713,0.635227226,0.912179731,0.956393781,0.957668476,0.959167311
Building_T2-100x50-S2-GS_IEBC,0.225106239,0.781679025,1.160032821,1.290305699,1.335057706,1.338948496
Building_T2-100x50-S3-GS_IEBC,0.176965354,0.532430469,0.7714987,0.807791107,0.810000612,0.810605486
Building_T2-60x50-S2-PS_IEBC,0.195423616,0.660084721,1.067784041,1.527176093,1.847065057,1.857380376
Building_T2-60x50-S3-PS_IEBC,0.148059523,0.447626376,0.710397203,0.978085499,1.064578311,1.065367455
Building_T2-100x50-S2-PS_IEBC,0.150787384,0.518595913,0.8350273,1.285982907,1.563836199,1.565582278
Building_T2-100x50-S3-PS_IEBC,0.095888946,0.34373523,0.546278652,0.764077828,0.814494718,0.814494718
Building_T3-50x30-S2-GS_IEBC,0.384643033,0.972134139,1.512427561,1.946410736,2.015715753,2.031735016
Building_T3-50x30-S3-GS_IEBC,0.276609706,0.713076408,1.047901871,1.119346961,1.124915068,1.124915068
Building_T3-80x30-S2-GS_IEBC,0.349783978,0.933950353,1.477774178,1.781548185,1.898134314,1.906738237
Building_T3-80x30-S3-GS_IEBC,0.223498856,0.640453747,0.958628255,1.027061546,1.027541,1.027546878
Building_T3-50x30-S2-PS_IEBC,0.340122116,0.936230149,1.532802315,2.146961084,2.414212354,2.436445183
Building_T3-50x30-S3-PS_IEBC,0.198122767,0.554824592,0.859645698,1.141315423,1.239022117,1.241695845
Building_T3-80x30-S2-PS_IEBC,0.233498005,0.696298699,1.24081269,1.795387042,2.142311394,2.183389755
Building_T3-80x30-S3-PS_IEBC,0.128108322,0.441601937,0.683693019,0.977171937,1.114228594,1.114228594
Building_T4-60x50-S2-GS_IEBC,0.311805759,0.895011201,1.405616668,1.619482309,1.64226559,1.646458501
Building_T4-60x50-S3-GS_IEBC,0.230278237,0.623470838,0.93757402,1.008836477,1.016717701,1.016717701
Building_T4-100x50-S2-GS_IEBC,0.427078731,0.981381573,1.508744548,1.657673106,1.68136453,1.685810663
Building_T4-100x50-S3-GS_IEBC,0.189135225,0.608827228,0.835263459,0.884118241,0.884290498,0.884321308
Building_T4-60x50-S2-PS_IEBC,0.256403502,0.719850221,1.194710303,1.731455319,2.017975995,2.023026544
Building_T4-60x50-S3-PS_IEBC,0.146502342,0.481215418,0.742014979,0.993827653,1.081610407,1.081957219
Building_T4-100x50-S2-PS_IEBC,0.141800223,0.498854427,0.890065541,1.280422983,1.438888007,1.458364694
Building_T4-100x50-S3-PS_IEBC,0.107831452,0.334025924,0.524497398,0.739193471,0.795321501,0.795321501
Building_T1-60x30-S2-GS_ASCE,0.204485954,0.591453606,0.98724826,1.321429873,1.367291126,1.369604909
Building_T1-60x30-S3-GS_ASCE,0.115297139,0.44854271,0.753017106,0.97520414,0.984110771,0.984355586
Building_T1-100x30-S2-GS_ASCE,0.167141666,0.522494107,0.917547415,1.081251932,1.092626016,1.093066773
Building_T1-100x30-S3-GS_ASCE,0.119956158,0.426175143,0.665511575,0.747251302,0.748188719,0.748188719
Building_T1-60x30-S2-PS_ASCE,0.21683108,0.663146817,1.143819973,1.643122828,2.044338125,2.076077574
Building_T1-60x30-S3-PS_ASCE,0.151924535,0.501729332,0.807824029,1.107703577,1.243425754,1.243425754
Building_T1-100x30-S2-PS_ASCE,0.175521627,0.481384148,0.832581864,1.203735648,1.479988674,1.508013019
Building_T1-100x30-S3-PS_ASCE,0.126891832,0.361670624,0.57561633,0.825823343,0.904692669,0.904878887
Building_T2-60x50-S2-GS_ASCE,0.183279142,0.57376155,0.957491164,1.205568537,1.232130478,1.232130478
Building_T2-60x50-S3-GS_ASCE,0.121924699,0.416321735,0.722715802,0.872792705,0.887142124,0.88713293
Building_T2-100x50-S2-GS_ASCE,0.141709799,0.463029676,0.776139862,0.987339451,1.000855231,1.002134572
Building_T2-100x50-S3-GS_ASCE,0.121171781,0.32524105,0.543274751,0.655298431,0.660457591,0.660486402
Building_T2-60x50-S2-PS_ASCE,0.122076012,0.449947738,0.879351193,1.326654606,1.533463138,1.534636992
Building_T2-60x50-S3-PS_ASCE,0.069034194,0.370105951,0.660112981,1.023518827,1.116061324,1.116123251
Building_T2-100x50-S2-PS_ASCE,0.09420501,0.487378667,0.918491003,1.354217521,1.61173048,1.61173048
Building_T2-100x50-S3-PS_ASCE,0.104756891,0.325811967,0.508438436,0.697462602,0.780957761,0.780957761
Building_T3-50x30-S2-GS_ASCE,0.237121967,0.699635681,1.193145688,1.438484349,1.456733705,1.456733705
Building_T3-50x30-S3-GS_ASCE,0.147350292,0.480331533,0.855412953,0.964355727,0.979714217,0.979714217
Building_T3-80x30-S2-GS_ASCE,0.221745576,0.647815668,1.055881048,1.296195395,1.297380694,1.300223632
Building_T3-80x30-S3-GS_ASCE,0.156480874,0.563703668,0.860338025,0.990451146,0.990661957,0.990707065
Building_T3-50x30-S2-PS_ASCE,0.25639599,0.750539065,1.231455421,1.6580665,1.759613986,1.764679346
Building_T3-50x30-S3-PS_ASCE,0.16906484,0.570069635,0.898939796,1.232387744,1.30727881,1.30727881
Building_T3-80x30-S2-PS_ASCE,0.165049897,0.599099081,1.018553339,1.424054835,1.610654445,1.616067575
Building_T3-80x30-S3-PS_ASCE,0.113512759,0.403917622,0.655097829,0.944986006,1.052152368,1.052313435
Building_T4-60x50-S2-GS_ASCE,0.277892259,0.734316445,1.143709691,1.335676189,1.355804505,1.356631722
Building_T4-60x50-S3-GS_ASCE,0.176919738,0.52610538,0.78095249,0.892430494,0.892868076,0.89295901
Building_T4-100x50-S2-GS_ASCE,0.231797866,0.657659242,1.00372413,1.085609308,1.092864087,1.092999487
Building_T4-100x50-S3-GS_ASCE,0.160441087,0.505071192,0.735496211,0.774484023,0.774873573,0.774880207
Building_T4-60x50-S2-PS_ASCE,0.207806303,0.591062242,0.977104891,1.387021614,1.605396597,1.60588786
Building_T4-60x50-S3-PS_ASCE,0.160182241,0.48344537,0.755896317,1.049302573,1.154869514,1.156868112
Building_T4-100x50-S2-PS_ASCE,0.143806603,0.464701589,0.787104496,1.111283327,1.222996266,1.23108116
Building_T4-100x50-S3-PS_ASCE,0.121681304,0.356763866,0.578059037,0.778097723,0.858526313,0.858526313
