X Diff,Z Diff,Xpeakstrength,Zpeakstrength
81.7995108,56.0397918,3.618576497,2.567604249
-9.8518364,-39.3032242,3.618671378,2.567672957
10.3074042,-17.0341904,1.459549838,1.530653288
4.3905982,-22.5743482,1.581699752,1.618580868
4.5252636,-21.7346406,1.576840464,1.632412428
1.4768934,-24.7659002,1.646670543,1.677603622
-23.4808202,-50.1263928,2.158879983,2.173003272
-16.1018706,-42.0309458,2.005348557,2.038830102
81.7995108,56.0397918,3.06169042,2.172265619
-13.2947152,-41.972568,1.951711545,2.054560289
-14.8914302,-40.9405004,1.982773116,2.018363525
-16.1128574,-41.5207656,2.009861631,2.039017799
2.8456486,-25.342564,1.616909813,1.693572419
-5.0914532,-34.920803,1.781839568,1.900649381
-16.2151552,-42.7056536,3.164832765,2.245457798
-2.2749878,-32.3368654,1.725396973,1.377517457
-2.1841008,-33.011239,1.7228985,1.377527044
5.2814892,-24.8564564,1.569569375,1.377524678
12.093985,-16.0091728,1.427706316,1.377503201
-14.3902842,-39.4396468,1.947848807,1.377525488
9.3638826,-16.8657274,1.484033032,1.535759337
-16.8302906,-45.0351308,2.024955348,2.120666507
-21.7299712,-46.9908806,2.125287976,2.177622604
-0.6160512,-31.8266432,1.686779638,1.855945173
8.5960908,-16.8332596,1.499681153,1.509715158
81.7995108,56.0397918,3.760724851,2.670906232
81.7995108,56.0397918,3.760728245,2.670907856
-9.5304652,-33.1114842,1.878184611,1.869008325
81.7995108,56.0397918,3.760700955,2.670932725
-3.2490972,-30.0487078,1.750624952,1.816753402
1.8144686,-28.9951272,1.65369264,1.617399964
5.1582178,-18.2230452,1.570210993,1.58040507
-8.2128682,-34.6562458,1.856967647,1.617398666
-18.0502578,-47.3799812,2.073286974,1.617436351
2.9832482,-23.3326864,1.626491579,1.617486958
-20.440934,-44.5093566,1.920170153,1.364934476
-13.1655758,-41.4118006,1.920256009,1.364916643
-12.7574688,-37.9385754,1.919917071,1.364926097
-2.7032152,-28.9597302,1.746642359,1.364949495
-15.8143624,-45.109998,1.920190046,1.364944718
-16.5377554,-42.7117752,2.038463343,1.515803465
-7.9544952,-34.8803566,1.845738055,1.515777645
-15.7990568,-43.8301854,2.027783509,1.515760513
6.202904,-23.0442532,1.547487305,1.516068249
-3.6203442,-33.5496148,1.762410212,1.515779023
-0.4140948,-26.3935482,1.704827357,1.257227384
-22.203482,-47.8962888,1.771301499,1.257235654
1.6751342,-29.53477,1.664181532,1.257218235
-4.2136052,-31.6189676,1.771336114,1.257360061
-7.9722378,-35.944267,1.771157543,1.257250176
-18.2775416,-46.784745,2.095629445,1.810579196
-16.7284856,-48.8095444,2.061582631,1.810571399
10.437462,-22.1955244,1.479927405,1.686063403
-17.9594478,-49.0032574,2.09030887,1.810555672
-11.6871882,-40.6626814,1.957687313,1.810590371
81.3138508,55.5563968,1.445651976,1.022246505
-5.621209,-37.095174,1.445854068,1.022277549
-3.8715666,-31.98601,1.445876973,1.022252103
81.3138508,55.5563968,1.44547818,1.022274293
11.913143,-15.877934,1.445931636,1.02225213
81.3138508,55.5563968,2.808100365,2.003065948
-20.9987192,-43.6669622,2.807934329,2.003226624
5.1839978,-23.30154,1.577578151,1.674991891
-12.0687132,-38.7925912,1.945067464,1.946924785
81.3138508,55.5563968,2.807966302,2.003054962
-2.169728,-30.8070954,1.746584168,1.394168269
81.3138508,55.5563968,1.961251245,1.39420297
-24.685281,-53.4650382,1.961180162,1.394161722
-0.4707972,-25.1447872,1.709957086,1.394189647
81.3138508,55.5563968,1.961164492,1.394181583
-20.4998944,-46.3989984,1.561028067,1.103422548
-12.4730458,-37.9114366,1.56093329,1.103440288
-6.2526792,-32.285791,1.560895495,1.103437614
-6.4420768,-33.9963862,1.561045785,1.103411417
-2.5006674,55.5563968,1.560899013,1.103421369
2.0056728,-28.4566946,1.651634187,1.760117541
-14.3032714,-40.315919,2.002419526,2.050124401
-7.640452,-32.7203062,1.855836164,1.815431891
-13.3375554,-39.19016,1.97082194,2.052303505
81.3138508,55.5563968,2.982234065,2.127058332
-68.4900308,-54.1093958,1.514239589,1.22660187
-71.1288928,-51.6371878,1.514250486,1.226592951
-23.5102298,-28.7554888,1.514259868,1.226601816
-1.1724118,-18.0928818,1.403537992,1.226589092
-15.1266486,-25.748966,1.514309381,1.226597942
-62.0679428,-50.3113148,2.027129903,2.1494803
-44.0216748,-40.5029018,1.843084974,1.950262909
-24.2094908,-31.5284168,1.639744867,1.766264875
-37.8845588,-39.5015606,1.780345122,1.931414931
136.4068292,55.4388572,3.00350983,2.459819852
136.4068292,55.4388572,2.441960945,1.995943969
-17.6297908,-29.0541336,1.573450838,1.720693574
-6.6360438,-22.4056268,1.461004959,1.583427867
-77.7514828,-58.2353288,2.189339606,1.995909472
-37.7872098,-33.7567868,1.780662183,1.808854043
-60.2749298,-42.2601488,2.004212737,1.754867272
-41.4419348,-38.2619718,1.813583775,1.754843671
-24.8102978,-32.4066398,1.641425081,1.75488233
-43.3732438,-37.4206668,1.832831357,1.754849811
-13.0559968,-24.9923958,1.520952761,1.617899569
136.4068292,55.4388572,3.297639133,2.700296846
-20.1937988,-28.4496158,1.591317709,1.683371746
-49.4223208,-37.7880428,1.891889384,1.860336444
-13.1582758,-24.3958948,1.521762074,1.603210415
-53.1619238,-44.7393068,1.930765976,2.017679484
-59.8789148,-43.5473698,2.004009371,2.001229531
-27.6687628,-31.3991388,1.673937901,1.759565426
-34.1877488,-32.7898128,1.74111605,1.786032676
-56.6357468,-44.1158208,1.972745019,2.018875482
-42.8209778,-38.4842388,1.830299339,1.904715072
-58.1550148,-45.2874438,1.979072952,2.014822666
136.4068292,55.4388572,2.555019914,2.085210932
-39.2523208,-38.5815238,1.789185224,1.894445288
-12.6484188,-25.1827778,1.514114701,1.614736274
-69.2174538,-53.1565278,2.096665103,2.085223339
-7.6769448,-22.9414988,1.471344397,1.326772202
-26.5985488,-28.9385378,1.631487182,1.326850803
-66.6256728,-44.5084028,1.631436275,1.32675637
-21.0066018,-28.9051738,1.608681405,1.326785344
-40.4233148,-35.6840828,1.63142679,1.326770575
-15.1789078,-26.7622268,1.544309427,1.659043524
-69.4888668,-51.7074818,2.098307829,2.15813945
-64.2199518,-49.5475898,2.047439128,2.120211954
