NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,Xpeakstrength,Zpeakstrength
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.143046111,1.242119374
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.875850183,1.535705561
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,2.205754275,1.638352301
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.339586577,1.781377747
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.116405219,1.502859907
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.355459835,1.405403374
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.498675198,1.449353639
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.604340313,1.446199616
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.744806482,1.451360219
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.474214948,1.363680339
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.648925822,1.867014412
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.335440306,1.550806381
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.339154236,2.142388787
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.439215674,1.550486448
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.625409513,2.141380087
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.309502786,1.769931894
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.311989032,2.316911054
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.999997833,1.540883367
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1.000109287,1.662323536
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000015333,1.701435076
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.00023327,1.475660181
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000017189,1.367380947
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000168579,1.56860149
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000032185,1.395270461
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000198996,1.341677033
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.145580478,1.131403478
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.231432345,1.243521161
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.212401733,1.182513543
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.259470452,1.320026334
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.083895198,1.114782199
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.117294791,1.222934937
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.111487491,1.142857045
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.157794484,1.259131651
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,1.915917922,1.563452038
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,2.279161266,1.69499064
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.339586577,1.781377747
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,2.116405219,1.502859907
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.405516128,1.420820894
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,1.563666895,1.471433687
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.738164511,1.454307674
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,1.744725078,1.451388885
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.562003911,1.363678956
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,1.792064309,1.867018198
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.33545848,1.582811336
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.339092338,2.212118343
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.500232188,1.582302603
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,1.710714385,2.211367518
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.30956719,1.831923835
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.311904432,2.317014388
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,0.999997635,1.570771025
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,1.000109231,1.695335656
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000026231,1.758707791
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.000238847,1.475699377
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000016199,1.384055584
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,1.000167741,1.593058271
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000055754,1.395275494
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,1.000220392,1.341661247
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.155797831,1.139620076
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,1.234732104,1.237081955
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.224922689,1.191282933
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,1.259259536,1.334274257
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.083895198,1.114782199
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,1.117294791,1.222934937
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.124160225,1.154882739
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,1.180696645,1.290098188
