,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost
145,34.03668,-118.19321000000001,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,55970.35187097317
146,34.04875,-118.19323999999999,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18164.877301347882
147,34.06201,-118.19378999999999,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,32400.821161943975
148,34.13309,-118.19391,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,16247.279476381336
149,34.10325,-118.19411000000001,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,30110.249023662695
150,34.1046,-118.19415,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,38497.75438905573
151,34.0485,-118.19416000000001,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,50405.88209950687
152,34.11399,-118.19422,3,L3,GWB,80X30,7200.0,L3-3S-80X30-GWB,7,39648.64823926197
153,34.12035,-118.19436,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,35008.690849724924
154,34.11104,-118.1944,2,L3,GWB,80X30,4800.0,L3-2S-80X30-GWB,5,28618.773963973334
155,34.05366,-118.19448999999999,3,L4,HWS,100X50,15000.0,L4-3S-100X50-HWS,15,89937.38114237785
156,34.113690000000005,-118.19453999999999,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,39392.18620713796
157,34.140370000000004,-118.19455,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,37969.05577476729
158,34.11202,-118.19463,2,L3,GWB,50X30,3000.0,L3-2S-50X30-GWB,3,19950.17336327502
159,34.066320000000005,-118.19467,2,L1,HWS,100X30,6000.0,L1-2S-100X30-HWS,6,42495.36956264909
160,34.10933,-118.19488999999999,2,L3,HWS,80X30,4800.0,L3-2S-80X30-HWS,5,30421.96766743749
161,34.112359999999995,-118.1949,3,L4,GWB,60X50,9000.0,L4-3S-60X50-GWB,9,51703.61233372076
162,34.06132,-118.19491000000001,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,32854.55900045847
163,34.1199,-118.19502,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,17641.19500367903
164,34.11182,-118.19503,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,34109.68470853944
165,34.11417,-118.19506000000001,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18694.60076078565
166,34.14001,-118.19507,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,68910.0121099911
167,34.10649,-118.19513,2,L4,GWB,60X50,6000.0,L4-2S-60X50-GWB,6,36416.72374389542
168,34.10535,-118.19545,2,L4,HWS,100X50,10000.0,L4-2S-100X50-HWS,10,53483.33260209492
169,34.11268,-118.19551000000001,3,L3,HWS,80X30,7200.0,L3-3S-80X30-HWS,7,36206.51828465241
170,34.11252,-118.19556999999999,3,L1,HWS,100X30,9000.0,L1-3S-100X30-HWS,9,52974.8789973242
171,34.12097,-118.19573000000001,2,L1,GWB,100X30,6000.0,L1-2S-100X30-GWB,6,36469.247506087195
172,34.04919,-118.19575,2,L1,HWS,60X30,3600.0,L1-2S-60X30-HWS,4,22852.398652370437
173,34.1098,-118.19613000000001,2,L4,HWS,60X50,6000.0,L4-2S-60X50-HWS,6,30551.850728131598
174,34.10645,-118.19616,2,L3,HWS,50X30,3000.0,L3-2S-50X30-HWS,3,18830.92194222343
