Index,Xpeakstrength,Zpeakstrength
Building_T3-50x30-S2-PS_Existing10,0.364310489,0.217785174
Building_T3-50x30-S3-PS_Existing1,0.311622769,0.183443314
Building_T3-50x30-S3-PS_Existing2,0.249036005,0.145632931
Building_T3-50x30-S3-PS_Existing3,0.245029454,0.144604865
Building_T3-50x30-S3-PS_Existing4,0.260362256,0.151667913
Building_T3-50x30-S3-PS_Existing5,0.233655628,0.138137436
Building_T3-50x30-S3-PS_Existing6,0.334843717,0.199618168
Building_T3-50x30-S3-PS_Existing7,0.199888621,0.11758317
Building_T3-50x30-S3-PS_Existing8,0.319803371,0.188896949
Building_T3-50x30-S3-PS_Existing9,0.270543734,0.160174811
Building_T3-50x30-S3-PS_Existing10,0.161686932,0.093369248
Building_T3-80x30-S2-PS_Existing1,0.381403419,0.183629363
Building_T3-80x30-S2-PS_Existing2,0.202244558,0.096158789
Building_T3-80x30-S2-PS_Existing3,0.31035291,0.150086265
Building_T3-80x30-S2-PS_Existing4,0.355901617,0.170984285
Building_T3-80x30-S2-PS_Existing5,0.266558443,0.127250355
Building_T3-80x30-S2-PS_Existing6,0.361277534,0.173717757
Building_T3-80x30-S2-PS_Existing7,0.241729365,0.113009294
Building_T3-80x30-S2-PS_Existing8,0.391601788,0.187868148
Building_T3-80x30-S2-PS_Existing9,0.317098733,0.150209336
Building_T3-80x30-S2-PS_Existing10,0.281576099,0.133470923
Building_T3-80x30-S3-PS_Existing1,0.151647093,0.067644922
Building_T3-80x30-S3-PS_Existing2,0.311508437,0.149388748
Building_T3-80x30-S3-PS_Existing3,0.318386514,0.154327104
Building_T3-80x30-S3-PS_Existing4,0.309306929,0.14694022
Building_T3-80x30-S3-PS_Existing5,0.241095862,0.114551312
Building_T3-80x30-S3-PS_Existing6,0.186925892,0.085948795
Building_T3-80x30-S3-PS_Existing7,0.160474228,0.073241702
Building_T3-80x30-S3-PS_Existing8,0.250013952,0.117849461
Building_T3-80x30-S3-PS_Existing9,0.202621861,0.094365729
Building_T3-80x30-S3-PS_Existing10,0.197447769,0.092349419
Building_T4-60x50-S2-GS_Existing1,0.363917064,0.462833418
Building_T4-60x50-S2-GS_Existing2,0.277823881,0.353755302
Building_T4-60x50-S2-GS_Existing3,0.315552636,0.4013511
Building_T4-60x50-S2-GS_Existing4,0.378738119,0.481451199
Building_T4-60x50-S2-GS_Existing5,0.186227665,0.237956994
Building_T4-60x50-S2-GS_Existing6,0.243553519,0.310569748
Building_T4-60x50-S2-GS_Existing7,0.255631958,0.326009068
