Latitude,Longitude,Loss
33.73674,-118.30708,389656.6407
33.73685,-118.30523,434180.2606
33.73706,-118.30227,293978.595
33.73706,-118.30294,653276.8249
33.73715,-118.2993,254556.6651
33.7372,-118.30294,599182.216
33.73725,-118.30535,171371.847
33.73726,-118.30421,662353.395
33.73727,-118.30454,860875.5914
33.73734,-118.30227,111714.1502
33.73743,-118.29863,411213.3754
33.73744,-118.30083,186613.5224
33.73747,-118.30294,111435.7461
33.73759,-118.30294,173748.2951
33.73759,-118.30369,173351.7408
33.73762,-118.3042,1377762.999
33.7377,-118.30271,174145.0388
33.73782,-118.30556,660131.5434
33.73788,-118.29324,195353.4626
33.73813,-118.29435,117607.282
33.73814,-118.29104,1433897.409
33.73888,-118.28613,425083.4418
33.73996,-118.29591,194890.7315
33.74035,-118.28877,180258.0364
33.7406,-118.28924,296359.0984
33.74215,-118.29311,121583.375
33.74295,-118.29314,704613.204
33.74356,-118.29289,959480.0119
33.744,-118.30932,1030605.886
33.74415,-118.30933,407214.5287
33.7443,-118.30933,662478.4473
33.74445,-118.28199,250920.6194
33.74449,-118.30933,467546.2689
33.74482,-118.30929,104260.0965
33.74487,-118.29813,290571.018
33.74487,-118.29827,176724.9301
33.7449,-118.28988,575121.9643
33.74519,-118.30932,284968.9982
33.74633,-118.3093,259126.6389
33.74666,-118.28675,376989.8897
33.74789,-118.30015,178449.5914
33.77287,-118.26164,344139.5064
33.77308,-118.27067,339232.3144
33.77475,-118.27023,523397.8742
33.77507,-118.26244,366572.5471
33.77646,-118.26988,336779.0214
33.77826,-118.27571,995363.6413
33.77858,-118.27244,449339.887
33.77944,-118.27794,213145.7443
33.77952,-118.27107,448545.691
33.77997,-118.26111,746786.4306
33.77997,-118.26111,315156.3745
33.77997,-118.26111,383563.4319
33.77997,-118.26111,112446.6698
33.77997,-118.26115,216939.9132
33.77999,-118.27652,331873.4741
33.78012,-118.27654,129060.4373
33.78073,-118.26412,130511.3561
33.78084,-118.2685,726833.6185
33.781,-118.27477,716489.8061
33.78125,-118.27094,993875.621
33.78179,-118.27025,213619.1466
33.78241,-118.27128,506013.3918
33.78245,-118.27315,286560.8681
33.7826,-118.26485,129640.3203
33.78266,-118.2673,993875.621
33.78266,-118.2673,332486.5742
33.78274,-118.2735,128770.7401
33.78295,-118.27484,286009.6196
33.78299,-118.26431,213619.1466
33.78326,-118.25918,726833.6185
33.78357,-118.25858,188600.3024
33.78397,-118.27493,443779.8095
33.78402,-118.25927,1100746.467
33.78414,-118.25863,378449.877
33.78448,-118.27497,211254.6631
33.78463,-118.27497,109127.4306
33.78496,-118.30172,430440.2868
33.78523,-118.25933,263716.5268
33.78576,-118.30616,325744.3963
33.78662,-118.30568,858189.6461
33.78711,-118.30512,724383.2172
33.78751,-118.30584,439012.9898
33.78754,-118.30683,724383.2172
33.78837,-118.30627,304758.9754
33.78877,-118.27462,980455.0014
33.78889,-118.27456,326969.8984
33.78974,-118.30117,126459.1187
33.7902,-118.3029,209367.6815
33.7902,-118.30447,184968.8437
33.79034,-118.30026,304111.249
33.79051,-118.3044,305406.9581
33.79076,-118.30784,1492715.718
33.79078,-118.30735,441396.4932
33.79147,-118.3077,728337.3139
33.79269,-118.26383,1926055.632
33.79302,-118.3072,984934.1763
33.79311,-118.30234,185331.704
33.79364,-118.24811,431067.2422
33.79399,-118.24849,1461121.444
33.79402,-118.29519,439012.9898
33.79479,-118.26379,489312.5495
33.795,-118.30257,441396.4932
33.79506,-118.30785,308001.4197
33.79535,-118.27486,182580.0592
33.7955,-118.30139,727019.2951
33.79601,-118.30088,327582.7132
33.79612,-118.29956,184968.8437
33.79647,-118.30056,727019.2951
33.79648,-118.30039,727019.2951
33.79747,-118.30446,986425.9907
33.79748,-118.30472,128191.8379
33.79748,-118.30524,732291.2545
33.79748,-118.30564,503228.8976
33.79748,-118.30598,128481.2067
33.79749,-118.30611,504157.0283
33.79751,-118.3038,246551.6972
33.79755,-118.30082,244917.9118
33.79805,-118.30546,733609.1863
33.7981,-118.30509,1952105.195
33.79812,-118.30462,285458.4545
33.80075,-118.26417,315336.0266
33.80083,-118.26434,424710.7401
33.80226,-118.26445,200462.771
33.80329,-118.26436,178088.1462
