Latitude,Longitude,Loss
33.77999,-118.27652,419824.6605
33.78012,-118.27654,225332.3507
33.78073,-118.26412,227325.8102
33.78084,-118.2685,921274.1289
33.781,-118.27477,1531750.705
33.78125,-118.27094,1110196.211
33.78179,-118.27025,374119.9868
33.78241,-118.27128,890072.2184
33.78245,-118.27315,520473.0009
33.7826,-118.26485,226129.805
33.78266,-118.2673,1110196.211
33.78266,-118.2673,420507.2271
33.78274,-118.2735,224933.591
33.78295,-118.27484,519776.5534
33.78299,-118.26431,374119.9868
33.78326,-118.25918,921274.1289
33.78357,-118.25858,238882.3283
33.78397,-118.27493,556000.1901
33.78402,-118.25927,1608510.595
33.78414,-118.25863,708528.3807
33.78448,-118.27497,370876.1179
33.78463,-118.27497,354785.5328
33.78496,-118.30172,590235.3989
33.78523,-118.25933,653722.2289
33.78576,-118.30616,412989.8208
33.78662,-118.30568,1587387.535
33.78711,-118.30512,907883.6292
33.78751,-118.30584,550749.7155
33.78754,-118.30683,907883.6292
33.78837,-118.30627,443939.9047
33.78877,-118.27462,1096368.238
33.78889,-118.27456,414358.0911
33.78974,-118.30117,221742.8445
33.7902,-118.3029,368279.969
33.7902,-118.30447,234790.1352
33.79034,-118.30026,443142.8169
33.79051,-118.3044,444736.9633
33.79076,-118.30784,2076760.982
33.79078,-118.30735,553376.2374
33.79147,-118.3077,912244.8875
33.79269,-118.26383,2254755.919
33.79302,-118.3072,1100985.736
33.79311,-118.30234,235199.5646
33.79364,-118.24811,541976.6536
33.79399,-118.24849,2043524.586
33.79402,-118.29519,550749.7155
33.79479,-118.26379,869715.4019
33.795,-118.30257,553376.2374
33.79506,-118.30785,447924.8712
33.79535,-118.27486,385245.9582
33.7955,-118.30139,910791.5817
33.79601,-118.30088,415041.9868
33.79612,-118.29956,234790.1352
33.79647,-118.30056,910791.5817
33.79648,-118.30039,910791.5817
33.79747,-118.30446,1102523.093
33.79748,-118.30472,224136.0105
33.79748,-118.30524,916602.0909
33.79748,-118.30564,886698.9528
33.79748,-118.30598,224534.8106
33.79749,-118.30611,887824.2487
33.79751,-118.3038,846679.327
33.79755,-118.30082,844198.3819
33.79805,-118.30546,918053.5783
33.7981,-118.30509,2280374.369
33.79812,-118.30462,519079.6422
33.80075,-118.26417,401335.2291
33.80083,-118.26434,534939.1213
33.80226,-118.26445,355938.3575
33.80329,-118.26436,227003.7246
33.81568,-118.30799,407510.555
33.81982,-118.29993,534939.1213
33.81983,-118.30021,881635.1162
33.81984,-118.30342,536700.0401
33.81985,-118.30664,431184.2155
33.81985,-118.30717,887479.6655
33.81985,-118.3073,431981.5256
33.81986,-118.30091,1066938.471
33.82014,-118.30183,881635.1162
33.82045,-118.30778,431184.2155
33.82099,-118.30409,429589.5964
33.821,-118.30458,429589.5964
33.821,-118.30478,535819.7066
33.82184,-118.29987,426400.4146
33.82187,-118.30099,427197.6983
33.82189,-118.2996,1062262.977
33.82208,-118.3078,227413.8277
33.82255,-118.30251,533177.2019
33.82304,-118.30318,878710.4828
33.8232,-118.30236,877247.5868
33.82367,-118.30211,875784.3084
33.82367,-118.30661,1063822.328
33.82867,-118.3068,527885.5812
33.82877,-118.30764,1054453.522
33.8288,-118.30856,351388.6451
33.82942,-118.30824,422414.1972
33.82942,-118.30857,527885.5812
33.82944,-118.30684,1052889.109
33.82944,-118.30701,2004981.816
33.82992,-118.30825,527002.8082
33.82997,-118.30868,868462.2869
33.83051,-118.30761,420819.8396
33.83052,-118.30778,420819.8396
33.83053,-118.30743,420819.8396
33.83057,-118.30878,420819.8396
33.83095,-118.30187,718501.4872
33.83113,-118.30278,864064.679
33.83113,-118.30294,222080.701
33.83114,-118.30077,717533.9148
33.83114,-118.3011,862598.0956
33.83114,-118.30126,221670.3289
33.83114,-118.30457,718501.4872
33.83119,-118.30312,348138.3884
33.83152,-118.30135,209374.6936
33.83196,-118.305,862598.0956
33.83618,-118.30871,565699.1012
33.83642,-118.30872,207380.4532
33.83679,-118.30869,838662.6761
33.84037,-118.30675,340987.5043
33.84047,-118.30504,204988.0346
