NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,Xpeakstrength,Zpeakstrength
3,716.142875,15000,1200,600,11972.25,11319.0,0.01,9.25,1.0685649336651708,1.0810499077268714
2,292.2549166,6000,720,600,7220.0,4695.75,0.01,9.25,1.4641338319512944,1.210541750638527
3,474.80383330000006,9000,720,600,11079.0,7124.5,0.01,9.25,1.259224568230986,1.3704396312365663
2,443.629375,10000,1200,600,7924.75,7460.0,0.01,9.25,1.2662733342953472,1.4121499082909132
3,716.142875,15000,1200,600,11972.25,11319.0,0.01,9.25,1.094486178782299,1.2212539168626908
2,184.60541669999998,3600,720,360,4033.5,3642.25,0.01,9.25,2.2286678321469697,1.761484943738842
3,306.1486667,5400,720,360,6351.5,6071.0,0.01,9.25,2.339583343890784,1.8608419564985919
2,284.02395839999997,6000,1200,360,6450.75,4057.0,0.01,9.25,1.9795631339276714,1.5507357860871729
3,467.47629169999993,9000,1200,360,10498.25,6370.5,0.01,9.25,1.9422585178188854,1.7130079170229786
2,184.60541669999998,3600,720,360,4033.5,3642.25,0.01,9.25,2.7223012962630837,2.087599769474291
3,306.1486667,5400,720,360,6351.5,6071.0,0.01,9.25,2.1163849918433932,1.5028506349141402
2,284.02395839999997,6000,1200,360,6450.75,4057.0,0.01,9.25,2.371479160356918,1.6480753299184394
3,467.47629169999993,9000,1200,360,10498.25,6370.5,0.01,9.25,1.744601210741653,1.451394106567585
2,286.8205416,6000,720,600,6177.0,4857.5,0.01,9.25,1.8737269796872973,2.5192132236045124
3,469.3694583000001,9000,720,600,10036.0,7346.25,0.01,9.25,1.3353927704403217,2.1556268352824413
2,436.76741669999996,10000,1200,600,8095.0,6177.0,0.01,9.25,1.8367546594543769,3.0622324631208877
3,709.2809167,15000,1200,600,12142.5,10036.0,0.01,9.25,1.309506150435146,2.2083850857019223
2,286.8205416,6000,720,600,6177.0,4857.5,0.01,9.25,1.8605195299526442,3.079227027172306
3,469.3694583000001,9000,720,600,10036.0,7346.25,0.01,9.25,1.3391042601326737,2.218791022169184
2,436.76741669999996,10000,1200,600,8095.0,6177.0,0.01,9.25,1.8308412281703006,3.1656499655427655
3,709.2809167,15000,1200,600,12142.5,10036.0,0.01,9.25,1.311904479500257,2.3169753817019765
2,150.971375,3000,600,360,3784.0,2527.5,0.01,9.25,1.8775969405462316,2.3455645291410097
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.3455451307756605,1.7587068244884227
2,241.730875,4800,960,360,6146.0,4631.5,0.01,9.25,1.8770474773749073,1.8001691030861309
3,394.190125,7200,960,360,9383.25,6945.0,0.01,9.25,1.3294420299205725,1.39527173330974
2,150.971375,3000,600,360,3784.0,2527.5,0.01,9.25,1.7064975969682898,2.071590381449536
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,1.20206460879812,1.4756510471094761
2,241.730875,4800,960,360,6146.0,4631.5,0.01,9.25,1.7703352020478824,1.8806060328649248
3,394.190125,7200,960,360,9383.25,6945.0,0.01,9.25,1.24257382364109,1.341692691577345
2,292.2549166,6000,720,600,7220.0,4695.75,0.01,9.25,1.8784185041418224,1.5765133420277537
3,474.80383330000006,9000,720,600,11079.0,7124.5,0.01,9.25,1.319621121586332,1.4499482718650847
2,443.629375,10000,1200,600,7924.75,7460.0,0.01,9.25,1.8342420963829005,1.9450029568302782
3,716.142875,15000,1200,600,11972.25,11319.0,0.01,9.25,1.2949420917517493,1.3756569445558855
