,0,1,2
155,785867442.8962818,452700935.70375955,476708486.9940442
156,946601275.559739,549971230.4530418,579176668.6494857
157,1116265810.4006455,669258284.7259622,702630418.8483733
158,1196362724.7105832,730535582.9780655,764998830.5716093
159,1406456237.941646,860944561.6891651,901948820.738756
160,1064788503.6239012,620618060.550189,651740873.3369808
161,811257761.2084562,455426414.608122,480550262.82768106
162,906275137.21802,522114671.5466405,548054843.1714814
163,1289390795.691863,770262302.9858025,808434283.5831964
164,1198113116.4535787,711183473.1652107,746402506.0407109
165,1040655001.2179058,608553766.4357373,639586485.9271705
166,1176264436.3746767,700126261.4935049,733582772.8264469
167,1101759833.092334,648578026.0268465,681519419.4083478
168,1092353968.4586625,631473850.1398549,663397097.5329587
169,1053156092.628403,625314086.69761,655954799.7175081
170,1060356261.7573041,602551189.0745828,634563616.8976202
171,1523193904.9888256,944203472.0773476,988601068.5402715
172,1699680002.8217611,1072970517.2190626,1120701021.563796
173,1196818645.1898148,737113037.0484023,770751726.9914848
174,1210633907.960658,734545482.342207,768121818.2494403
175,1530719826.5075934,932525566.7319301,976944745.4350629
176,1024942543.4027271,592858578.3981234,622721734.1599874
177,1394888596.4386556,846275471.4980607,886198262.3930802
178,1388842600.9623156,838858970.4370629,878550032.6646512
179,1301170999.305532,792847676.4623462,829000590.9792664
180,1031707011.3907871,595264663.0806035,624959417.1012108
181,1306541616.814942,788908818.4518379,824770196.766612
182,1326144363.3046944,800315049.2246652,839409710.5463092
183,1294699843.6538396,766368533.6157858,805051362.4454043
184,1725269044.5918946,1057281223.0827422,1105962328.7542
185,1686303494.1476438,1041535087.5152365,1090381543.333308
186,5796050.836161374,2212340.29369074,2331007.8445395567
187,8538995.085173942,3252642.2796849054,3476201.5741853924
188,12703143.118843233,5155232.435229013,5433104.979660133
189,8923940.285143014,3271013.04696667,3451155.7922056178
190,29030735.59253036,13643235.599095296,14416500.393983535
191,17926741.196787585,7352095.412943478,7845837.837678978
192,32928758.552100666,13763175.038843887,14759497.940028993
193,14720969.174811153,6733595.816571647,7129019.419303767
194,18236100.60743267,7718314.723508917,8204806.37788389
195,16554254.509016529,6408027.127124988,6879114.503998193
196,31177870.298740745,12702698.833757134,13522795.103066847
197,39751416.8354736,17515177.984900545,18558177.169630565
198,30634302.7783454,12775408.72688937,13617450.099854348
199,56637828.91277693,26583595.000898242,28136275.096897006
200,9146087.520122845,3324459.1244664555,3536449.7418125477
201,10900687.805155633,3934379.284774621,4231999.90303382
202,19526222.93569844,9449607.073037788,9916227.395758804
203,37668397.39372265,18765813.599245787,19606265.370108925
204,54191985.0949979,28877796.03401737,30405599.455393236
