NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,X Diff,Z Diff,Xpeakstrength,Zpeakstrength
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.730217004,3.524491357
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.493849266,3.944319849
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.555926467,3.944310906
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,2.42529508,3.944338429
2,253.62,1800,720,360,4033.5,3642.25,0.047,11.34225,52.9565446,30.0536013,1.904021092,3.755239635
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.244435821,4.140410647
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,1.621450042,3.223522034
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.45535033,4.496666429
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,1.865280312,3.508691009
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,1.722189307,3.652246006
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,1.714237534,3.53988809
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.573728396,4.380878289
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.441564531,4.227949553
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.409939166,4.44838935
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.081880323,3.839297905
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.069467666,3.05719985
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.069243727,3.057210588
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,1.894809171,3.057491963
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,1.684848,3.057174776
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.069250052,3.057200076
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,1.66882122,3.211862388
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,1.668923626,3.102809276
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.110341351,3.417948703
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.311715395,3.417969278
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.009422881,3.417936671
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,1.83872264,3.470424675
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.152242192,3.817406079
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.087595372,3.753146419
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,2.430616786,3.817421883
2,239.688,1800,720,360,4033.5,3642.25,0.02,11.02475,52.470068,29.5523987,1.866890031,3.70305589
2,252.116,1800,720,360,4033.5,3642.25,0.031,10.26958,52.470068,29.5523987,2.115975224,3.127292092
2,252.116,1800,720,360,4033.5,3642.25,0.031,10.26958,52.470068,29.5523987,2.115882714,3.127284777
2,252.116,1800,720,360,4033.5,3642.25,0.031,10.26958,52.470068,29.5523987,1.757553085,3.127304844
