Latitude,Longitude,Story,Type,SMS
34.06565,-118.25058,,FWL3,2.549
34.06621,-118.25066,,,2.554
34.07565,-118.25078,2,,2.643
34.11297,-118.25087,,,2.905
34.06688,-118.25087,3,FWL3,2.56
34.0213,-118.25099,2,FWL4,2.183
34.07662,-118.25102,,,2.652
34.11308,-118.25105,,,2.905
34.06657,-118.25113,3,,2.556
34.06685,-118.2512,3,,2.558
34.00049,-118.25145,2,,2.019
33.99344,-118.25176,,,1.982
34.06677,-118.25181,2,,2.556
34.08389,-118.25198,,,2.718
34.11398,-118.25204,,,2.904
34.07666,-118.25213,,,2.649
34.07736,-118.25237,,,2.655
34.07131,-118.2524,3,,2.597
34.07142,-118.25248,3,,2.598
34.07921,-118.25297,,,2.67
34.02002,-118.25302,2,FWL4,2.168
34.07607,-118.25314,,,2.64
34.07592,-118.25327,,,2.638
34.07145,-118.25332,3,,2.596
34.08305,-118.25339,,,2.706
34.07625,-118.25358,,,2.641
34.07946,-118.25367,,,2.671
34.08212,-118.25371,,,2.696
34.11578,-118.25414,,,2.902
34.11426,-118.25479,2,,2.897
34.11657,-118.25506,,,2.902
34.00693,-118.25507,2,FWL4,2.062
34.09339,-118.25513,2,,2.798
34.00112,-118.25522,,,2.017
34.08154,-118.25527,,,2.686
34.0214,-118.25552,2,FWL4,2.173
34.06442,-118.25571,2,,2.521
34.07785,-118.25581,3,,2.649
34.07949,-118.25599,2,,2.664
33.959,-118.25608,2,,1.806
33.95886,-118.25608,2,,1.805
33.95773,-118.25608,2,,1.8
34.08596,-118.25615,2,FWL3,2.725
34.01732,-118.25616,2,FWL4,2.14
34.02149,-118.25619,2,FWL4,2.172
34.07433,-118.25621,,,2.615
34.08006,-118.25623,,,2.669
34.07822,-118.25632,3,,2.651
34.07274,-118.25636,,,2.599
34.11601,-118.25639,2,,2.896
34.0789,-118.25641,,,2.657
33.95886,-118.25644,2,,1.805
34.07121,-118.25646,,,2.584
34.09237,-118.25651,2,,2.785
34.11653,-118.25653,2,,2.897
34.07933,-118.25669,,,2.661
33.96124,-118.2567,2,,1.817
34.00796,-118.25675,2,,2.067
33.95684,-118.25685,,,1.795
34.01925,-118.25689,2,FWL4,2.153
34.07616,-118.25692,,,2.63
34.07174,-118.25692,,,2.588
