Existing,Ordinance,Algorithm
1155946.41,247386.4639,483123.2769
2085950.834,555275.9491,1341084.021
2626269.57,683240.4331,1421139.099
2819201.725,662885.5588,1415189.909
181967278.2,71220660.35,123422194.4
247398656.4,100921254.7,175227745.5
279614924.4,119779066.3,197750798.9
312430147.2,132699380.8,225321796.8
325421401.7,142275909.9,238964644.2
552117824.2,264942654.5,407896645
604183866.1,301420638.8,451313087.3
411993945.8,186716278.6,306902479.8
842448652.2,421562407.7,627242075.6
708108911.2,355206956.9,525569782.9
791965323.3,395505122.3,592323298.7
966855676,496155389.5,738635007.4
1377679405,764016320.6,1052474016
1041924621,542894241.6,788155567.3
1312869815,703974793.1,1006772256
872296300.1,429052895.1,645836138
1115406453,598970666.1,859759246.2
962975242.8,486335537.9,732139077.6
1137094843,600601650.5,858320107.3
960373184.7,491873928.4,723652118.8
948475603.7,479908294.6,704410709.1
946968416.4,483902221.1,712518960.3
1288368006,717655708.4,999483026
1052601183,537831440.8,798192012.3
1268273918,677234521.5,983959624.7
1231791278,649650337,938294053.1
1036671890,558104025.5,798427473.9
983370204.6,490085642.5,744486887.6
1077032513,557538861.7,816584828.7
1371598704,733625577,1058571121
1318091838,691231873.2,999936644.5
1582984138,882478854.3,1215139002
1579183360,892616273.1,1238455300
1315560058,707344170.1,994257705.4
1372225393,758917346.3,1079271808
1446123998,791133691.3,1121087839
1318828133,703431864.5,1000749814
1626874891,901431582.6,1269527155
118404396.1,45924430.5,78362940.39
137636890,60954646.41,90478866.23
139636036.4,54988073.43,94015274.67
272232014.6,130494129.7,196484172.6
175951399.3,72855476.86,122369003.6
232035022.3,103269716.6,165615857.2
222354783.8,97022725.97,154379215.6
289947627.7,132067651.9,210294301.3
171597261.9,69191412.2,118822348.5
291723918.7,130319331.2,200051401.6
267091448.5,113495146.6,181795868.4
315623247.1,141195761.5,230207874.6
336922441.7,149918703.4,235513112.9
404555584.3,179859830,290648871.2
438591823,215917269.5,326496488.6
253582102.9,107724413.2,172518186.1
412935359.9,204250944.8,301705852.2
368964083.1,166826840.4,261155046.3
541040804.3,268886982.5,391012689.4
589289518.8,292551235.6,434867028.8
635923669.6,316754343.5,476593509.8
610232109.2,299374649,446080994.2
335084988.6,148778880.8,238335232.9
440518049.3,209047178.6,317859553.9
485910866.5,237548195.5,363087354.4
651388597.3,319436597.1,469682860.1
543806254.8,255524752.5,398406395.7
654612806,314849917.2,489165191.9
32.61467668,1.913840561,17.51288465
513.2849759,52.19036667,282.2364101
320.3666878,32.56251844,220.4952154
1286.190682,142.9907404,791.5412301
953.6070406,90.11314876,265.6635156
1582.3395,140.1461639,755.6281902
1175.050926,84.53404245,602.723278
597.5837372,42.30003639,223.4691922
1098753.586,245673.2203,826167.147
1111318.256,254111.5625,722039.2494
1186759.974,265873.9969,702738.058
3625254.301,894183.0302,2084725.946
3619480.162,1040205.053,2394809.114
1850529.615,390261.5046,1150264.404
5324616.174,1356810.193,3303572.921
34398446.03,11730333.77,23159656.12
51631270.08,19316504.08,34194930.63
53876644.04,20709126.68,37233746.69
52308895.25,18025285.36,36701581.81
113915185.8,44964331.74,76307073.52
96098827.43,36992237.93,68122139.29
221309962.7,92975127.52,160089254.8
302125052.9,133327855.3,219139864
322125909.1,139135731.9,236200417.1
400015985.3,189152765.2,294897470.4
475981503,219167848.8,357283513.9
562383186.9,266034550.9,412374156.2
674661003.7,327180472.8,507737019.7
611222499,298306124.9,452231150.7
934069995.9,499493105.1,710682609.6
872251818.2,440557335.6,657105822.1
971892359,492323654.4,735697088.4
1247482618,672344667.4,956366914.6
1211667076,621351856.9,920367453.9
1002061806,515252312.7,757387816.1
1317804368,717199086.3,1014181655
1155864276,602872219.9,883099511.2
1587862902,892727029.4,1242152242
1605037492,873141419.8,1248258911
1538405548,823683078.2,1184700397
1423601074,775449676.8,1102509867
1090206388,559948784.6,824058599.1
1126971731,579187428.4,836061784.2
1459311181,783749373.2,1121315757
1500045216,817078994.2,1165315356
1382826406,719826757.8,1048255647
1701861954,966806704.7,1363195576
1113803148,577831990.8,863451979.3
1249014351,656109399,951441823.3
1430650462,758808496.6,1110613926
1363031752,735822243.5,1052838251
1308822382,723975752.7,1007840027
1588104953,873900110.7,1250076341
1939846282,1098578771,1493910753
1082626112,554862458.3,837944001.2
1220661641,642325381.6,935276530.1
1139059086,588748531.2,868307441.8
1273554127,664915028.9,970326639.6
1985094194,1120004979,1546911796
1614431308,908035340.5,1291440989
1836359621,1065356665,1440577716
1218735891,643511734.1,942346937.8
1261036807,680878960.3,972834844.1
1209579802,642834964.6,925655872.8
1395816858,742001372.3,1072109627
1727381728,989167617.4,1367857339
1487764014,809612226,1144764866
2048109851,1163496675,1627404862
2113342262,1261856065,1680856850
612567029.9,307992041.3,461406526.1
615964077.9,295972954.5,446069503.3
669133276.2,315086697,496707560.9
830428463.5,432164929.2,638349420.2
907636332.7,469342948.2,693175239
988922329.9,512748793.7,755437474.4
968402169.4,483920301.7,743006877.5
741382196.3,375739088.3,559568706.3
783682225,391233329.8,582463005.7
979068617.4,507323444.3,734282028.7
889952272.6,453988419.6,677068279.7
1113637029,579689182.5,844309948.7
1066091934,551418747.1,832461334.7
775345323.8,398298535.4,582838011.3
984662350.9,509869316,734745199.1
946644598.4,478166103.5,710533790.5
1123717466,586136669.7,871731080
1400369632,764355701.4,1077540530
1160626040,623600672.6,913245414.9
968595066,487676183.9,740797615.8
1321218714,706808678.6,1014269306
1342345421,750178736.2,1029348518
1298164175,683519480,990039484
1259980862,671685911.6,964988681.8
1059829462,569762190.3,822384845.9
1036008936,534743752.2,782634561.5
1419391643,756604372.4,1094545055
1391075055,772031695.3,1078351111
1337996817,726596677,1022996030
1651201157,939526872.5,1311389247
30197493.46,11185585.3,20706543.64
40140930.79,14800092.96,27083382.73
36438404.68,12370173.28,22195634.08
73635738.39,27390658.13,45331109.33
60285688.12,21591889.39,40525793.29
127441101.6,51144535.21,88884137.55
87733196.39,33088055.51,59921949.63
142865895.8,66770682.92,103477335.3
112273924.5,45245393.59,72251364.85
95022840.42,36438727.2,60643704.93
103944493.6,40969332.9,66192605.39
172510117.2,70561858.62,116453030
187766631.3,75101840.21,124559417.9
200910043,87582872.58,137136840.1
131325616.9,53261735.54,86995451.37
109548819.7,43980411.41,72953826.16
132339483.4,51640060.83,88159515.04
204510381.4,88659512.44,134303196
231304776.1,102683902.5,163742783.3
332313599.9,152721683.6,239542117.8
50662476.71,17475453.71,31000275.41
61462178.78,21698219.44,36281677.39
88299889.64,35379391.66,60908178.56
86376279.84,34409571.61,58687578.81
85828809.59,32696206,56365796.06
138319995.4,56498671.86,95480700.77
122836905.4,50485827.01,83539672.49
70166278.16,25168019.73,43227193.25
85574841.06,31439164.75,52922931.94
133020739.4,56928058.62,92918034.1
139342291.2,58759413.73,94946028.22
183512849.1,74352667.85,120393130.9
205082801.7,91859230.55,149109885.8
68913444.24,25722282.37,43803654.49
93182386.52,38172870.62,64437446.49
93290787.35,36063324.35,61257432.92
113871207,44901426.62,74049489.13
144265728.8,58797644.67,98976662.68
153041166,58478398.14,102100425.7
181406107,74857424.04,123382944.1
66451202.68,24106843.99,45709726.76
117311986,46075481.75,78322742.82
140865944.5,54408274.42,97896948.89
127576321.9,51313469.02,87367640.4
196893322.6,89027838.03,142123101.8
96561073.66,35121717.8,64944307.03
155414323.1,65465645.22,111510405.2
112891851,44265107.2,78236191.65
171845633.5,69365008.6,118407484.9
197259826.7,84193814.11,137509015.3
189104403,74878334.04,127316642.5
186286.0751,38790.89131,116045.7234
56649.18596,8580.058613,18418.97815
221518.7672,41295.3193,127653.3623
95488.01499,15146.14048,42976.77482
372656.3716,80146.35185,257978.9128
80401.02868,12605.89502,32849.57578
364572.0606,62512.11535,205944.0063
395814.8834,91612.43079,139461.9023
63028.40973,11503.7326,28395.70922
260503.5138,55134.46615,101456.1877
688942.4214,185377.164,304767.1323
143296.8328,22178.16858,72151.26095
