Lat,Long,Existing,Ordinance ,Algorithm
34.12776,-118.22026,842183.19,583998.732,848528.4097
34.04767,-118.22034,1144755.566,814035.0283,879075.6002
34.05216,-118.22066,700506.5289,563548.4051,626362.6769
34.04807,-118.22091,604038.0743,247551.6584,402548.5059
34.08459,-118.22101,948618.357,776731.296,851385.8594
34.04934,-118.22119,1149073.726,819201.9955,884192.3854
34.05302,-118.22128,1708451.152,1489197.561,1702948.385
34.12509,-118.22201,1669426.925,1439186.406,1673187.247
34.04468,-118.22204,792696.9889,573301.555,786438.1172
34.04483,-118.22218,815317.5913,642954.8573,716563.6069
34.04675,-118.2232,1140942.155,809491.6206,874572.7218
34.08656,-118.2244,791002.1413,656423.4366,701204.9374
34.1228,-118.22444,955843.3469,734395.2655,949807.4484
34.09285,-118.22455,1905925.868,1703624.329,1919166
34.14337,-118.22578,972897.4675,830511.5706,850774.6625
34.09337,-118.22594,1910373.15,1721100.606,1922320.812
34.12184,-118.22651,813450.8675,680206.63,733933.9477
34.10442,-118.22653,1290225.169,966793.7405,1121651.555
34.12135,-118.22715,1924208.081,1736458.382,1936038.669
34.10397,-118.22769,825714.3932,693330.5531,746824.689
34.07154,-118.22969,456721.426,346147.2076,360444.7636
34.09692,-118.22987,497409.8263,388195.3207,430526.4628
34.07194,-118.23019,457307.1611,346738.4989,361039.5258
34.12287,-118.23057,492499.8014,353161.1592,484503.2244
34.10728,-118.2306,504371.3762,395594.068,437863.0287
34.07198,-118.23092,1806652.031,1607507.702,1819384.112
34.07236,-118.23103,799588.7658,538448.9497,806169.4855
34.07245,-118.23111,1805822.016,1593693.411,1800555.862
34.10627,-118.23126,698552.6716,341966.6446,502746.0297
34.10698,-118.23187,2027770.375,1800117.665,2011484.853
34.07457,-118.23197,1505261.561,1370547.295,1367998.709
34.12544,-118.23215,1265293.548,1007790.213,1056858.477
34.12675,-118.23234,489079.4611,349598.3163,481055.149
34.13218,-118.2328,847898.3889,590280.9551,854207.8655
34.13246,-118.23285,1255379.689,994575.9203,1083939.147
34.12926,-118.23288,492152.2635,382648.2233,425010.6408
33.94296,-118.23288,434926.9517,316176.603,361084.9318
34.12968,-118.23294,491621.7546,382090.4231,424455.2564
34.12982,-118.23297,982236.6379,738217.1384,978598.273
34.13011,-118.23303,491356.1752,381811.3132,424177.3051
34.08746,-118.23329,837639.9915,579034.3142,844012.9172
34.10731,-118.23381,2028238.155,1800757.154,2011967.336
34.1027,-118.23396,1941054.926,1742842.141,1953965.625
34.1066,-118.23524,2027770.375,1800117.665,2011484.853
34.10149,-118.23556,996792.012,827087.3313,887152.207
34.06855,-118.23626,444593.0866,304870.0742,434453.3799
34.06855,-118.23626,787753.2387,526174.6493,794389.8803
34.06855,-118.23626,444593.0866,304870.0742,434453.3799
34.10711,-118.23627,871556.4304,616737.4018,877707.2859
34.06634,-118.23629,781731.9819,519991.6285,788395.5082
34.06801,-118.2364,1164657.816,544572.9339,960367.8341
34.06795,-118.23651,866616.1837,644421.274,860405.1972
34.06789,-118.23662,3493722.559,3026207.999,3467950.206
34.11988,-118.23708,1686275.918,1465805.206,1689833.997
34.11815,-118.23735,825310.7045,692897.0409,746399.4634
34.11866,-118.23746,497692.0497,358605.026,489739.5982
34.11139,-118.23767,995641.8541,758577.9853,992160.7311
34.06899,-118.2377,942847.1495,791380.0233,801854.2192
34.11,-118.23778,505389.5083,396681.3351,438939.1909
34.1153,-118.23781,977964.3125,757438.1168,971992.0505
34.06834,-118.23887,443695.5859,303997.3823,433551.5822
34.06693,-118.2389,735898.254,599314.3959,662287.334
34.12002,-118.23923,497949.4506,358876.0163,489999.2503
34.10892,-118.23995,829331.8825,697219.889,750637.8954
33.96259,-118.23996,545593.1621,395304.948,454303.305
34.10995,-118.24012,1949202.067,1751987.171,1962033.306
34.06328,-118.24027,1753737.918,1550560.154,1766808.796
34.06474,-118.24035,875256.7368,702127.7455,776624.0461
34.06819,-118.24036,937068.9496,673607.9843,932952.793
34.11967,-118.24045,1941799.559,1743677.194,1954703.044
34.06497,-118.24068,729652.9485,592952.1822,655920.3561
33.93507,-118.2407,387465.9115,151048.1596,218562.4088
34.11951,-118.24077,869635.9161,614562.0553,875800.2947
34.06228,-118.24087,3320358.638,3016948.567,3269388.631
34.11933,-118.24102,686506.8657,409671.9992,524617.4611
34.0647,-118.24103,775641.2347,513778.8267,782330.8873
34.0628,-118.24132,433078.1626,293759.1446,422889.7883
34.06268,-118.24138,769480.6506,507536.8804,776195.6398
34.06477,-118.24149,775641.2347,513778.8267,782330.8873
34.06412,-118.24155,435528.8098,296108.3228,425349.6206
34.06257,-118.24155,721878.9107,585063.2734,648011.4847
