Lat,Long,SDS,Existing,Ordinance ,Algorithm
34.08722,-118.176,1.37925,1878832.778,1673609.857,1873781.562
34.08722,-118.176,1.37925,1248286.075,944991.721,1003149.393
34.11803,-118.1761,1.4085,808456.3009,674888.4631,728699.8604
34.11854,-118.17612,1.40775,486956.7737,347396.3914,478915.7788
34.11819,-118.17633,1.40775,975809.5613,805017.1553,865278.3088
34.08471,-118.17633,1.371,1869856.745,1663709.569,1864777.32
34.11619,-118.1766,1.40925,1260970.213,1002009.883,1051263.77
34.11351,-118.17694,1.41075,1912159.843,1710558.84,1925343.063
34.11966,-118.17712,1.407,3477119.874,3220262.627,3451739.909
34.11985,-118.17727,1.407,807618.8851,673998.2974,727823.1813
34.11701,-118.17732,1.4085,1263981.182,966269.2145,1038827.791
34.11917,-118.1774,1.407,1259780.596,1000424.182,1049728.192
34.11554,-118.17779,1.40925,853138.6348,596077.878,859414.4632
34.11804,-118.17781,1.40775,852336.6036,595188.3492,858617.6363
34.11449,-118.17816,1.41,3479942.384,3224019.037,3454666.295
34.11415,-118.17818,1.41,1913470.672,1724534.732,1925392.383
34.11405,-118.17836,1.41,3479942.384,3224019.037,3454666.295
34.11369,-118.17837,1.41075,1912159.843,1710558.84,1925343.063
34.11523,-118.17856,1.40925,1910606.323,1708829.744,1923803.788
34.09738,-118.17867,1.41525,812207.0275,678880.7588,732629.6004
34.10932,-118.17894,1.4145,1916029.187,1714868.391,1929176.749
34.089,-118.17899,1.386,1989658.417,1748655.029,1972215.599
34.11207,-118.17917,1.4115,687076.3184,329010.095,488877.2785
34.11367,-118.17937,1.41075,1265156.402,967879.308,1040371.222
34.07554,-118.17972,1.3395,461841.602,321865.4472,453633.7027
34.11249,-118.17973,1.4115,1915014.468,1726247.224,1926923.189
34.10946,-118.17987,1.4145,1282903.505,951469.3222,1109156.968
34.11868,-118.18007,1.407,807618.8851,673998.2974,727823.1813
34.08814,-118.18015,1.383,483559.7458,373656.6298,388060.8538
34.07506,-118.18022,1.33725,923792.5787,751209.6933,825929.102
34.11255,-118.18028,1.4115,810126.8518,676665.5347,730449.5048
34.0889,-118.1809,1.386,1248456.337,985432.0842,1075339.153
34.08121,-118.181,1.359,1650759.541,1410344.613,1654735.258
34.08853,-118.18149,1.38525,978209.5357,837580.8783,857649.7499
34.14091,-118.18159,1.3755,834724.5707,575862.2423,841114.9471
34.11365,-118.18225,1.41,853539.0848,596522.327,859812.3073
34.11285,-118.18323,1.41075,675289.2439,396645.3612,511448.7938
34.10672,-118.18389,1.42125,1922942.209,1722578.232,1936025.423
34.1224,-118.18479,1.3905,2152566.382,1820833.494,1874393.001
34.12174,-118.1849,1.39425,966144.8227,794923.0075,869456.4415
34.10514,-118.18506,1.425,1926754.159,1726835.257,1939801.538
34.12485,-118.18566,1.3785,791435.0748,656879.2084,701656.7932
34.12544,-118.18631,1.3755,1874765.666,1669121.292,1869701.605
34.12504,-118.18657,1.377,1876395.086,1670919.028,1871336.158
34.1028,-118.18666,1.4295,991089.4704,821067.9322,881193.6713
34.12671,-118.18678,1.3695,948063.5086,776157.7559,850815.1262
34.10835,-118.18714,1.41825,1981167.463,1491984.898,1975772.082
34.1187,-118.18723,1.4025,490558.1358,380973.1447,423342.4154
34.11873,-118.18739,1.4025,490558.1358,380973.1447,423342.4154
34.12481,-118.18753,1.37775,1332607.387,850577.4416,1174749.858
34.11876,-118.18755,1.4025,950468.9056,728842.2727,944418.7741
34.10752,-118.18765,1.41975,984284.0905,813905.2235,874096.2239
34.1077,-118.18771,1.41975,987246.6693,745757.6811,983666.2014
34.08889,-118.1878,1.3875,666272.3523,386423.1507,429216.4785
34.1263,-118.18795,1.371,1240118.047,974509.4188,1065039.682
34.12469,-118.188,1.3785,1984392.736,1741640.574,1966796.159
34.10753,-118.18802,1.41975,1678672.093,1453720.579,1682322.389
34.09067,-118.18802,1.39425,800443.0361,666388.0694,711075.595
34.12552,-118.18803,1.37475,1981731.452,1738103.988,1964057.716
34.10752,-118.18806,1.41975,987246.6693,745757.6811,983666.2014
34.10705,-118.18807,1.42125,815516.8397,682410.9737,736101.6807
34.12625,-118.18815,1.371,1872153.89,1678931.322,1884409.544
34.12548,-118.18819,1.37475,480554.3918,370533.1329,384930.8615
34.09066,-118.18841,1.39425,1336110.582,861488.0154,1181972.537
34.12464,-118.18868,1.3785,1247873.272,944437.6541,1002610.938
34.10996,-118.18889,1.4145,494791.8292,385428.8102,427777.1967
34.11974,-118.18928,1.3995,1553645.507,1427936.299,1425533.076
34.12444,-118.1893,1.37925,933543.1636,711468.4748,927451.3226
34.13368,-118.18936,1.341,769340.7171,633762.1501,678692.1014
34.116,-118.18962,1.4055,851130.7248,593852.4813,857419.5454
34.11741,-118.18986,1.40325,849921.442,592514.727,856218.0279
34.13823,-118.19063,1.32225,1632042.772,1382062.264,1636225.775
34.11635,-118.19073,1.404,805939.766,672214.7077,726066.1079
34.1078,-118.19084,1.41975,984284.0905,813905.2235,874096.2239
34.11621,-118.19102,1.40475,1556761.46,1431674.577,1440066.97
34.10775,-118.19139,1.41975,496626.6867,387366.8497,429703.4992
34.10525,-118.19185,1.42575,692331.7435,334884.7279,495192.9034
34.10838,-118.19187,1.41825,496103.5184,386813.8294,429153.9919
34.10504,-118.1926,1.42575,493284.0222,353980.6455,485293.9532
34.10568,-118.19262,1.42425,498191.0325,389022.5187,431347.8691
34.11176,-118.19282,1.4115,687076.3184,329010.095,488877.2785
34.11606,-118.19301,1.404,951547.1197,729954.8967,945499.8052
34.03668,-118.19321,1.19625,1656969.476,1448065.437,1670556.933
34.04875,-118.19324,1.239,421560.5989,282829.0579,411337.5139
34.06201,-118.19379,1.2885,863603.2263,641463.342,857388.579
