Index,NoDamage,Slight,Moderate,Severe,Complete
Building_T2-60x50-S3-GS_Existing3,0.069456893,0.352928915,0.592788522,0.661230435,0.665141836
Building_T2-60x50-S3-GS_Existing4,0.109245263,0.287936515,0.441579544,0.45229077,0.455716463
Building_T2-60x50-S3-GS_Existing5,0.134537835,0.416242316,0.672537014,0.715578154,0.715607697
Building_T2-60x50-S3-GS_Existing6,0.137900643,0.431274224,0.721030726,0.825581562,0.839185613
Building_T2-60x50-S3-GS_Existing7,0.109153725,0.331378874,0.456838904,0.463426718,0.463435424
Building_T2-60x50-S3-GS_Existing8,0.098248128,0.377113652,0.600816151,0.656313741,0.658902228
Building_T2-60x50-S3-GS_Existing9,0.105300046,0.326127034,0.449823909,0.463386447,0.46339517
Building_T2-60x50-S3-GS_Existing10,0.149615516,0.432046222,0.598446342,0.633140427,0.633165247
Building_T2-100x50-S2-GS_Existing1,0.198582789,0.60124023,0.960824802,1.064614874,1.069998041
Building_T2-100x50-S2-GS_Existing2,0.130720182,0.416088521,0.611645482,0.611645482,0.612227006
Building_T2-100x50-S2-GS_Existing3,0.15179113,0.48084697,0.654450681,0.664266449,0.665430691
Building_T2-100x50-S2-GS_Existing4,0.103267347,0.379544878,0.561324354,0.561339357,0.561339357
Building_T2-100x50-S2-GS_Existing5,0.19101206,0.540654764,0.924347157,1.021177285,1.026317174
Building_T2-100x50-S2-GS_Existing6,0.1155394,0.399191274,0.577906993,0.599364156,0.599382611
Building_T2-100x50-S2-GS_Existing7,0.195226267,0.582735159,0.966201168,1.071227248,1.076559319
Building_T2-100x50-S2-GS_Existing8,0.176619317,0.521087197,0.806251539,0.847783979,0.848627109
Building_T2-100x50-S2-GS_Existing9,0.201679182,0.581374011,0.830315864,0.839405875,0.844811091
Building_T2-100x50-S2-GS_Existing10,0.160889366,0.484014794,0.743830595,0.797287402,0.797486787
Building_T2-100x50-S3-GS_Existing1,0.150785409,0.448331922,0.578413077,0.583635248,0.588245015
