Index,NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,1st Mode,2nd Mode,Xpeakstrength,Xdrift@peakstrength,Xdrift@80%peakstrength,Xdrift@20%residualstrength,Zpeakstrength,Zdrift@peakstrength,Zdrift@80%peakstrength,Zdrift@20%residualstrength
Building_T3-80x30-S3-PS_Ordinance,3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,0.587860897,0.456693176,0.27395,0.00566,0.003355,0.026283,0.170985,0.006661,0.004355,0.028034
Building_T4-60x50-S2-GS_Ordinance,2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,0.301983292,0.277331139,0.421217,0.006049,0.003618,0.028475,0.531894,0.006194,0.003657,0.024589
Building_T4-60x50-S3-GS_Ordinance,3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0.432798218,0.392861708,0.261933,0.006,0.003336,0.018974,0.330347,0.005274,0.003157,0.016232
Building_T4-100x50-S2-GS_Ordinance,2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,0.3341049,0.298490331,0.449339,0.006019,0.003511,0.025439,0.363248,0.006051,0.003585,0.022087
Building_T4-100x50-S3-GS_Ordinance,3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,0.476520435,0.424735246,0.278585,0.005708,0.003142,0.017259,0.224128,0.005402,0.003105,0.014602
Building_T4-60x50-S2-PS_Ordinance,2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,0.360117955,0.352139896,0.332538,0.011558,0.004302,0.041083,0.361273,0.0112,0.004616,0.039457
Building_T4-60x50-S3-PS_Ordinance,3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,0.51724445,0.508192834,0.207142,0.009339,0.004562,0.028492,0.222291,0.008668,0.004451,0.026474
Building_T4-100x50-S2-PS_Ordinance,2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,0.438244185,0.349253031,0.334445,0.006309,0.003954,0.039628,0.233725,0.011166,0.004374,0.034955
Building_T4-100x50-S3-PS_Ordinance,3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,0.62945481,0.501275926,0.2074,0.006246,0.003906,0.027299,0.141358,0.008539,0.004124,0.02417
Building_T1-60x30-S2-GS_FEMA,2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,0.339382634,0.289671629,0.504522,0.00972,0.00435,0.062363,0.4975,0.005991,0.002838,0.035053
Building_T1-60x30-S3-GS_FEMA,3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,0.458495503,0.404553537,0.300817,0.00717,0.003316,0.033554,0.324849,0.005697,0.002977,0.026189
Building_T1-100x30-S2-GS_FEMA,2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,0.368406169,0.305210913,0.5638,0.0081,0.003808,0.037917,0.345247,0.006108,0.00352,0.046014
Building_T1-100x30-S3-GS_FEMA,3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,0.520340944,0.43950891,0.388899,0.006533,0.003447,0.031016,0.197308,0.005228,0.002989,0.023633
Building_T1-60x30-S2-PS_FEMA,2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,0.378534262,0.328813085,0.532278,0.016167,0.005605,0.059477,0.403572,0.011347,0.005144,0.052275
