Latitude,Longitude,Loss
33.74445,-118.28199,658340.9716
33.74449,-118.30933,588321.6428
33.74482,-118.30929,250974.0406
33.74487,-118.29813,316032.3942
33.74487,-118.29827,219731.7145
33.7449,-118.28988,718182.9422
33.74519,-118.30932,299892.332
33.74633,-118.3093,445921.7384
33.74666,-118.28675,661076.2327
33.74789,-118.30015,191035.302
33.77287,-118.26164,433425.498
33.77308,-118.27067,427987.5731
33.77475,-118.27023,626589.3168
33.77507,-118.26244,590381.4694
33.77646,-118.26988,425264.1006
33.77826,-118.27571,845167.0334
33.77858,-118.27244,477720.5664
33.77944,-118.27794,287069.455
33.77952,-118.27107,476903.5368
33.77997,-118.26111,479832.1659
33.77997,-118.26111,341868.0502
33.77997,-118.26111,669333.2744
33.77997,-118.26111,261316.3415
33.77997,-118.26115,291606.4797
33.77999,-118.27652,419808.5428
33.78012,-118.27654,203425.592
33.78073,-118.26412,205320.8849
33.78084,-118.2685,926257.101
33.781,-118.27477,1056366.725
33.78125,-118.27094,843765.5236
33.78179,-118.27025,287636.1675
33.78241,-118.27128,707099.8392
33.78245,-118.27315,480591.4652
33.7826,-118.26485,204183.6344
33.78266,-118.2673,843765.5236
33.78266,-118.2673,420491.0989
33.78274,-118.2735,203046.6108
33.78295,-118.27484,479906.6715
33.78299,-118.26431,287636.1675
33.78326,-118.25918,926257.101
33.78357,-118.25858,201564.2212
33.78397,-118.27493,471999.2986
33.78402,-118.25927,1274009.065
33.78414,-118.25863,662914.9454
33.78448,-118.27497,284803.8465
33.78463,-118.27497,255700.072
33.78496,-118.30172,509619.3974
33.78523,-118.25933,328860.8637
33.78576,-118.30616,412973.8087
33.78662,-118.30568,1095705.997
33.78711,-118.30512,462410.3924
33.78751,-118.30584,467091.7967
33.78754,-118.30683,462410.3924
33.78837,-118.30627,330952.5311
33.78877,-118.27462,831139.698
33.78889,-118.27456,414342.0575
33.78974,-118.30117,200015.8351
33.7902,-118.3029,282540.2883
33.7902,-118.30447,197800.1086
33.79034,-118.30026,330272.0161
33.79051,-118.3044,331633.2549
33.79076,-118.30784,1091049.732
33.79078,-118.30735,469545.9322
33.79147,-118.3077,465474.5269
33.79269,-118.26383,1641269.902
33.79302,-118.3072,835350.6945
33.79311,-118.30234,198176.3557
33.79364,-118.24811,458906.4031
33.79399,-118.24849,1063343.422
33.79402,-118.29519,467091.7967
33.79479,-118.26379,687791.3864
33.795,-118.30257,469545.9322
33.79506,-118.30785,334358.2051
33.79535,-118.27486,226377.3007
33.7955,-118.30139,464452.646
33.79601,-118.30088,415025.9425
33.79612,-118.29956,197800.1086
33.79647,-118.30056,464452.646
