Slight,Moderate,Severe,Complete
2.2220418,2.072162628,2.059199504,2.046979045
1.786838116,1.776034091,1.886993089,1.93446781
2.316749317,2.216962545,2.399219175,2.523575646
2.207279426,2.168483546,2.482968039,2.680997869
2.004984721,1.93625954,2.023240806,2.09516374
2.32651963,2.323870366,2.702428905,2.852834576
2.326028702,2.286349784,2.813620448,2.94523931
2.350329432,2.258934709,2.589601209,2.698957426
2.254486918,2.24740315,2.595606136,2.762119643
2.304525512,2.298308508,2.807223384,3.062676556
2.226589023,2.246219484,2.508324296,2.713064892
2.11728283,2.134221717,2.454664878,2.734870241
2.155063243,2.175409942,2.495082516,2.788970382
1.832583163,1.86572111,1.95179378,2.039419232
2.04265629,2.005752185,2.299162517,2.520345121
2.51817312,2.607785721,3.094390095,3.212084271
2.424183139,2.483639307,3.299414958,3.622549091
2.511326334,2.55411132,3.101523743,3.304191716
2.364380711,2.467100821,2.974410909,3.220185578
2.496529391,2.590450295,3.122366057,3.307673109
2.766685417,2.699561343,2.880616671,2.895833358
2.76696386,2.706568375,2.967058315,3.00612112
2.281502761,2.101497149,2.001837554,2.006193949
2.914515103,2.904861364,3.183662132,3.279089035
2.687217458,2.503902776,2.487417714,2.495724266
2.143018262,2.341931886,2.964403901,3.364705161
2.093730921,2.224308057,2.93687924,3.148893339
2.144785166,2.314097189,2.979590301,3.155543943
1.997058575,2.082017455,2.738232015,2.895087336
2.167373265,2.324400257,2.773531727,2.861307143
1.947761491,1.973985568,2.072499018,2.355050041
2.162673865,2.366451885,2.589553171,2.712718157
2.016579902,2.028114185,2.231865466,2.444495898
1.972708917,2.074692584,2.342548459,2.569061751
1.947279828,2.04442687,2.182622601,2.606232193
2.44001174,2.320437989,2.458743371,2.463447312
2.262009865,2.278462171,2.232369941,3.109606541
2.385904591,2.496671228,3.119270462,3.176190585
2.408649466,2.369813815,2.476868894,2.49763848
2.467929996,2.378026498,2.519508854,3.50357869
1.901175651,1.966018388,2.452111814,2.911972335
2.074811598,2.121240276,2.650081324,3.140327184
1.972871097,2.051415747,2.580195337,2.978927559
1.982315583,2.090122889,2.562282505,3.00133204
2.059709688,2.105072106,2.510184718,2.767536286
2.013802297,2.026732697,2.151594956,2.281359129
2.473828684,2.341783276,2.35866106,2.370117304
2.265929233,2.205903271,2.256779208,2.315729289
2.258243159,2.280067306,2.330979156,2.495946492
2.050711852,2.072038153,2.100076257,3.026906166
1.816090322,1.977897147,2.45691489,2.628787105
1.893249252,1.988749145,2.449172226,2.609816647
2.010383116,2.132541021,2.270804249,2.288961456
1.772364072,1.88732538,1.859351141,1.82959233
1.840002305,2.051300907,2.296987843,2.302669547
2.439783169,2.215469713,2.288540322,2.355222653
2.320262393,2.096792629,2.198612612,2.178325504
2.046003997,1.852084791,1.86909356,1.860556219
2.256379045,2.065616022,2.236129317,2.236654044
1.949463837,1.809631171,1.803252423,3.777660551
