NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,X Diff,Z Diff,Xpeakstrength,Zpeakstrength
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,-1.2471744,5.9646174,-116.2960361,27.51140389
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,-1.956943,5.262656,-50.55728428,21.68686242
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,-2.149458,3.837326,-111.9957481,36.45683189
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,-3.164001,2.829341,-52.32934006,39.4575262
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,52.9565446,30.0536013,1.601776101,2.979573656
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,52.470068,29.5523987,1.565802241,3.075586108
2,284.0239584,6000,720,360,6450.75,4057,0.01,9.25,67.559162,23.1690666,2.118619673,3.917494212
3,467.4762917,9000,720,360,10498.25,6370.5,0.01,9.25,66.846046,23.2913522,2.107453229,3.657523676
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,32.4440582,7.9215906,3.594718033,11.81123245
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,31.9583982,7.4381956,3.107114474,9.070002265
2,284.0239584,6000,720,360,6450.75,4057,0.01,9.25,37.3474712,4.2190582,5.683061611,18.27698244
3,467.4762917,9000,720,360,10498.25,6370.5,0.01,9.25,36.638071,3.51061,4.537502023,18.7795608
2,286.8205416,6000,720,360,6177,4857.5,0.01,9.25,4.9877456,65.5285856,24.68133838,1.727407759
3,469.3694583,9000,720,360,10036,7286.25,0.01,9.25,4.278564,64.819446,28.17512995,1.711569417
2,436.7674167,10000,720,360,8095,6177,0.01,9.25,5.427399,65.851532,36.44377889,1.687846258
3,709.2809167,15000,720,360,12142.5,10036,0.01,9.25,4.410966,64.834115,43.98717256,1.661458664
2,286.8205416,6000,720,360,6177,4857.5,0.01,9.25,2.1452406,38.4404154,46.7880858,2.800253007
3,469.3694583,9000,720,360,10036,7286.25,0.01,9.25,1.435472,37.738454,67.68926809,2.681497918
2,436.7674167,10000,720,360,8095,6177,0.01,9.25,2.38429,38.751281,76.74484318,4.193741548
3,709.2809167,15000,720,360,12142.5,10036,0.01,9.25,1.369747,37.743296,120.2701766,2.942920496
2,150.971375,3000,720,360,3784,2527.5,0.01,9.25,6.4384492,19.4241745,15.51613895,3.288245769
3,247.5722917,4500,720,360,5832.75,4054.5,0.01,9.25,6.056235,19.0368362,16.30206005,3.289708367
2,241.730875,4800,720,360,6146,4631.5,0.01,9.25,7.7117164,7.7674264,20.74269492,13.44248024
3,394.190125,7200,720,360,9383.25,6945,0.01,9.25,7.111998,7.16805,22.22973536,14.2687801
2,150.971375,3000,720,360,3784,2527.5,0.01,9.25,-3.2540331,6.4216628,-32.42970406,11.56785454
3,247.5722917,4500,720,360,5832.75,4054.5,0.01,9.25,-3.6360612,6.0340856,-23.48274901,10.13879083
2,241.730875,4800,720,360,6146,4631.5,0.01,9.25,-2.0133246,1.1905902,-83.618074,65.54603073
3,394.190125,7200,720,360,9383.25,6945,0.01,9.25,-2.610617,0.595099,-51.39175368,113.2621216
2,292.2549166,6000,720,360,7220,4695.75,0.01,9.25,4.1299326,19.8184516,28.98345677,7.657470604
3,474.8038333,9000,720,360,11079,7124.5,0.01,9.25,3.420751,19.109312,34.33271752,7.820829917
2,443.629375,10000,720,360,7924.75,7460,0.01,9.25,3.663154,11.429334,53.48736704,13.80839046
3,716.142875,15000,720,360,11972.25,11319,0.01,9.25,2.646721,10.411917,72.73905068,14.82699942
2,292.2549166,6000,720,360,7220,4695.75,0.01,9.25,-1.2471744,5.9646174,-88.0923422,24.01930934
3,474.8038333,9000,720,360,11079,7124.5,0.01,9.25,-1.956943,5.262656,-50.55825478,21.68704286
2,443.629375,10000,720,360,7924.75,7460,0.01,9.25,-2.149458,3.837326,-85.84019476,33.30822111
3,716.142875,15000,720,360,11972.25,11319,0.01,9.25,-3.164001,2.829341,-52.32888738,39.45955111
