NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,X Diff,Z Diff,X 1st Inc,Z 1st Inc
2,436.7674167,10000,720,360,8095,6177,0.01,9.25,2.38429,38.751281,,
3,709.2809167,15000,720,360,12142.5,10036,0.01,9.25,1.369747,37.743296,,
2,150.971375,3000,720,360,3784,2527.5,0.01,9.25,6.4384492,19.4241745,,
3,247.5722917,4500,720,360,5832.75,4054.5,0.01,9.25,6.056235,19.0368362,,
2,241.730875,4800,720,360,6146,4631.5,0.01,9.25,7.7117164,7.7674264,,
3,394.190125,7200,720,360,9383.25,6945,0.01,9.25,7.111998,7.16805,,
2,150.971375,3000,720,360,3784,2527.5,0.01,9.25,-3.2540331,6.4216628,,
3,247.5722917,4500,720,360,5832.75,4054.5,0.01,9.25,-3.6360612,6.0340856,,
2,241.730875,4800,720,360,6146,4631.5,0.01,9.25,-2.0133246,1.1905902,,
3,394.190125,7200,720,360,9383.25,6945,0.01,9.25,-2.610617,0.595099,,
2,292.2549166,6000,720,360,7220,4695.75,0.01,9.25,4.1299326,19.8184516,,
3,474.8038333,9000,720,360,11079,7124.5,0.01,9.25,3.420751,19.109312,,
2,443.629375,10000,720,360,7924.75,7460,0.01,9.25,3.663154,11.429334,,
3,716.142875,15000,720,360,11972.25,11319,0.01,9.25,2.646721,10.411917,,
2,292.2549166,6000,720,360,7220,4695.75,0.01,9.25,-1.2471744,5.9646174,,
3,474.8038333,9000,720,360,11079,7124.5,0.01,9.25,-1.956943,5.262656,,
2,443.629375,10000,720,360,7924.75,7460,0.01,9.25,-2.149458,3.837326,,
3,716.142875,15000,720,360,11972.25,11319,0.01,9.25,-3.164001,2.829341,,
