,NumStory,SeismicWeight,peakstrength,drift@peakstrength,drift@80%peakstrength,drift@20%residualstrength,area
Building_T1-60x30-S3-GS_Variated7_3,1,139.0,0.9690443899280575,0.0102072,0.00711712,0.047,0.0062977640483954985
Building_T1-60x30-S3-GS_Variated7_4,1,139.0,0.9400981798561151,0.00888288,0.00634234,0.0565135,0.005077030434397515
Building_T1-60x30-S3-GS_Variated7_5,1,139.0,0.8031833165467626,0.0122973,0.00735135,0.0534865,0.007022151929852302
Building_T1-60x30-S3-GS_Variated8_1,1,139.0,0.9241100848920863,0.0104054,0.00634234,0.0627838,0.006471559900392413
Building_T1-60x30-S3-GS_Variated8_2,1,139.0,0.6698787841726619,0.0104414,0.00504505,0.0572613,0.005141363423900972
Building_T1-60x30-S3-GS_Variated8_3,1,139.0,0.9544444172661871,0.0123964,0.00768468,0.053,0.008262934398986474
Building_T1-60x30-S3-GS_Variated8_4,1,139.0,0.7885406474820144,0.0115495,0.00364865,0.0627207,0.0071832461382101845
Building_T1-60x30-S3-GS_Variated8_5,1,139.0,0.9100102302158274,0.0124955,0.00735135,0.0462342,0.00800507337062026
Building_T1-60x30-S3-GS_Variated9_1,1,141.0,0.8447769347517731,0.00873874,0.0061982,0.0467928,0.004637800403465854
Building_T1-60x30-S3-GS_Variated9_2,1,141.0,0.8863538936170213,0.0103604,0.00473874,0.052018,0.006784441024265075
Building_T1-60x30-S3-GS_Variated9_3,1,141.0,0.6669293290780142,0.0105495,0.0027027,0.0538829,0.005947853819838809
Building_T1-60x30-S3-GS_Variated9_4,1,141.0,0.6698419702127659,0.00463063,0.00224324,0.0438829,0.0021526754788449244
Building_T1-60x30-S3-GS_Variated9_5,1,141.0,0.6201000638297872,0.0125135,0.00217117,0.0465225,0.0067208053890420935
Building_T1-60x30-S3-GS_Variated10_1,1,139.0,0.9304639928057554,0.00893694,0.00469369,0.0374685,0.005934466656459823
Building_T1-60x30-S3-GS_Variated10_2,1,139.0,0.7448424057553956,0.00827027,0.00241441,0.0437477,0.004950549516801263
Building_T1-60x30-S3-GS_Variated10_3,1,139.0,0.6471787093525179,0.00773874,0.00192793,0.0383964,0.004221966012740155
Building_T1-60x30-S3-GS_Variated10_4,1,139.0,0.7919536071942446,0.00727928,0.0035045,0.040018,0.004154900777148037
Building_T1-60x30-S3-GS_Variated10_5,1,139.0,0.9450341410071943,0.00779279,0.00587387,0.0442342,0.004263883935143854
Building_T1-100x30-S2-GS_Variated1_1,1,217.0,0.8849302119815668,0.0127748,0.00436937,0.047955,0.008912509788292076
Building_T1-100x30-S2-GS_Variated1_2,1,217.0,1.0635692811059907,0.00979279,0.00730631,0.0578919,0.006298172171235467
Building_T1-100x30-S2-GS_Variated1_3,1,217.0,0.8390149861751153,0.0112162,0.00612613,0.0667477,0.006759857488788459
Building_T1-100x30-S2-GS_Variated1_4,1,217.0,0.810404396313364,0.0136937,0.00476577,0.057964,0.008663134043711626
Building_T1-100x30-S2-GS_Variated1_5,1,217.0,1.1570686221198156,0.0130631,0.00725225,0.0542072,0.01085942996958503
Building_T1-100x30-S2-GS_Variated2_1,1,228.0,0.8401531315789474,0.0101982,0.00271171,0.0488919,0.006951257876594827
Building_T1-100x30-S2-GS_Variated2_2,1,228.0,0.7971446131578946,0.00505405,0.00245045,0.0512252,0.0027999558500894856
Building_T1-100x30-S2-GS_Variated2_3,1,228.0,1.1599555921052633,0.00867568,0.00548649,0.0438649,0.006541807455180358
Building_T1-100x30-S2-GS_Variated2_4,1,228.0,1.1188259298245615,0.00842342,0.0056036,0.0496216,0.0061889107207403074
Building_T1-100x30-S2-GS_Variated2_5,1,228.0,0.9961629824561402,0.0083964,0.00318919,0.0463243,0.006351203184415011
Building_T1-100x30-S2-GS_Variated3_1,1,205.0,0.8676400634146343,0.00954054,0.00278378,0.0426396,0.0066700075817545754
Building_T1-100x30-S2-GS_Variated3_2,1,205.0,0.8751649951219512,0.0107568,0.00310811,0.054045,0.007575373462640939
Building_T1-100x30-S2-GS_Variated3_3,1,205.0,1.2437464195121952,0.0117568,0.00561261,0.0536667,0.01072361645621462
Building_T1-100x30-S2-GS_Variated3_4,1,205.0,1.1217326292682928,0.0091982,0.00324324,0.0464595,0.007982739139999799
Building_T1-100x30-S2-GS_Variated3_5,1,205.0,1.1505051902439023,0.010973,0.00741441,0.0553063,0.008315409437456973
Building_T1-100x30-S2-GS_Variated4_1,1,237.0,0.9206598059071729,0.00959459,0.00268468,0.0444144,0.007093089395813298
Building_T1-100x30-S2-GS_Variated4_2,1,237.0,1.0941611729957805,0.0093964,0.0047027,0.0396757,0.007385627369091197
Building_T1-100x30-S2-GS_Variated4_3,1,237.0,0.7648435611814347,0.00817117,0.00420721,0.0401171,0.0045130588379546
Building_T1-100x30-S2-GS_Variated4_4,1,237.0,1.1484625232067511,0.00903604,0.00656757,0.0476757,0.006340579576552964
Building_T1-100x30-S2-GS_Variated4_5,1,237.0,0.9941946666666669,0.0105405,0.00436937,0.0423694,0.007854481208976308
Building_T1-100x30-S2-GS_Variated5_1,1,246.0,0.8684728983739837,0.0092973,0.00299099,0.0604414,0.006325544447469732
Building_T1-100x30-S2-GS_Variated5_2,1,246.0,0.9883781260162602,0.0112973,0.00648649,0.0634505,0.007770012226691688
Building_T1-100x30-S2-GS_Variated5_3,1,246.0,0.7889506747967481,0.00925225,0.00251351,0.0591171,0.006017203963792669
Building_T1-100x30-S2-GS_Variated5_4,1,246.0,1.1030370650406502,0.013018,0.00894595,0.0557748,0.0091957769483483
Building_T1-100x30-S2-GS_Variated5_5,1,246.0,0.7717185040650406,0.0113604,0.00369369,0.0463784,0.006855236564157556
Building_T1-100x30-S2-GS_Variated6_1,1,232.0,1.0688609698275864,0.012009,0.00788288,0.0622793,0.00847801691533832
Building_T1-100x30-S2-GS_Variated6_2,1,232.0,0.9386934913793102,0.00955856,0.00540541,0.0552973,0.006401283052522279
Building_T1-100x30-S2-GS_Variated6_3,1,232.0,1.137087943965517,0.0107027,0.00554955,0.0492793,0.008668035695664083
Building_T1-100x30-S2-GS_Variated6_4,1,232.0,0.9327992370689656,0.00975676,0.00521622,0.0599189,0.006572709854524163
Building_T1-100x30-S2-GS_Variated6_5,1,232.0,0.7651825974137932,0.00576577,0.00269369,0.0502973,0.0031841203208023074
Building_T1-100x30-S2-GS_Variated7_1,1,216.0,1.2447756064814814,0.00933333,0.00589189,0.0606847,0.007709238310444735
Building_T1-100x30-S2-GS_Variated7_2,1,216.0,1.2081199537037037,0.0114775,0.00704505,0.0593514,0.009398518280998115
Building_T1-100x30-S2-GS_Variated7_3,1,216.0,1.0696002546296297,0.00894595,0.00456757,0.0472162,0.006805482505560455
Building_T1-100x30-S2-GS_Variated7_4,1,216.0,1.194347361111111,0.0121081,0.00743243,0.0557297,0.00984282625773567
Building_T1-100x30-S2-GS_Variated7_5,1,216.0,0.8806345555555556,0.0100541,0.00572973,0.0491892,0.006188663328169944
Building_T1-100x30-S2-GS_Variated8_1,1,234.0,0.9666011239316239,0.0100631,0.00453153,0.0515045,0.007170764659425961
Building_T1-100x30-S2-GS_Variated8_2,1,234.0,1.1422915213675213,0.00748649,0.00496396,0.0484505,0.005568874756618443
Building_T1-100x30-S2-GS_Variated8_3,1,234.0,0.9164732777777778,0.00895495,0.00420721,0.0494505,0.00603449069355412
Building_T1-100x30-S2-GS_Variated8_4,1,234.0,0.8136987863247862,0.00862162,0.00403604,0.0502703,0.005242302800323372
Building_T1-100x30-S2-GS_Variated8_5,1,234.0,0.9204629658119657,0.0102432,0.00627928,0.0474865,0.006523679800052702
Building_T1-100x30-S2-GS_Variated9_1,1,233.0,1.1692385150214593,0.00926126,0.00617117,0.0435766,0.007167794729130081
Building_T1-100x30-S2-GS_Variated9_2,1,233.0,0.7693379579399141,0.00416216,0.00193694,0.0408739,0.0023214087554483723
Building_T1-100x30-S2-GS_Variated9_3,1,233.0,0.8551185064377682,0.00871171,0.00293694,0.0383153,0.0058207291681360955
Building_T1-100x30-S2-GS_Variated9_4,1,233.0,1.1664675064377685,0.00745045,0.00447748,0.0434234,0.005891040932541086
Building_T1-100x30-S2-GS_Variated9_5,1,233.0,1.058338347639485,0.00936036,0.00505405,0.0411261,0.007123485655683136
Building_T1-100x30-S2-GS_Variated10_1,1,240.0,0.8606710541666667,0.00896396,0.00425225,0.0504054,0.005700432330149616
Building_T1-100x30-S2-GS_Variated10_2,1,240.0,1.06581405,0.00785586,0.00487387,0.0446126,0.005617679193198767
