,Latitude,Longitude,Story,Type,Material,Dimension,Area,Index,Num_Units,RepairCost,existing fatality,optimized fatality,ordinance
1723,33.91673,-118.28973,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,18381.83748,0.005768755,0.005768755,0.004781502
1724,34.09157,-118.28976,2,L4,HWS,60X50,6000,L4-2S-60X50-HWS,6,39078.24258,0.010766059,0.010766059,0.009155143
1725,33.88007,-118.28977,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,36182.08484,0.003699861,0.003699861,0.002837181
1726,34.1117,-118.28978,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,19170.06657,0.010988937,0.010988937,0.009585442
1727,34.10478,-118.28978,3,L4,GWB,100X50,15000,L4-3S-100X50-GWB,15,80447.34956,0.011338585,0.011338585,0.009879253
1728,33.97697,-118.28979,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,19127.91068,0.007223795,0.007223795,0.005980248
1729,34.09275,-118.2898,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,34765.40952,0.010897416,0.010886514,0.009298972
1730,34.10629,-118.28981,3,L1,HWS,100X30,9000,L1-3S-100X30-HWS,9,50869.92042,0.011474598,0.011474598,0.010046863
1731,34.10557,-118.28981,3,L3,HWS,80X30,7200,L3-3S-80X30-HWS,7,35571.33327,0.011354124,0.011354124,0.009903321
1732,34.01021,-118.28981,2,L1,GWB,100X30,6000,L1-2S-100X30-GWB,6,34323.472,0.00886234,0.00886234,0.007526686
1733,33.98475,-118.28981,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,38255.69385,0.007382125,0.007382125,0.006205342
1734,34.02716,-118.28982,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,54775.66654,0.010169944,0.010169944,0.008730704
1735,33.88097,-118.28982,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,55885.01464,0.003834171,0.003834171,0.002951038
1736,34.08694,-118.28983,3,L1,GWB,60X30,5400,L1-3S-60X30-GWB,5,31089.04239,0.010739433,0.010739433,0.009106508
1737,33.88136,-118.28983,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,47267.83247,0.003818221,0.003818221,0.002948761
1738,34.08856,-118.28984,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,62693.58915,0.010833823,0.010833823,0.009194825
1739,34.11167,-118.28985,2,L3,HWS,80X30,4800,L3-2S-80X30-HWS,5,29646.53161,0.010966891,0.010966891,0.009585249
1740,34.09481,-118.28985,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,37869.91823,0.010743549,0.010743549,0.009151947
1741,33.7449,-118.28988,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,18879.62563,0.004032047,0.004032047,0.003200506
1742,34.08959,-118.28989,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,30010.91997,0.010750212,0.010750212,0.009125368
1743,33.97887,-118.28994,2,L3,HWS,80X30,4800,L3-2S-80X30-HWS,5,31028.59186,0.006815243,0.006815243,0.005588325
1744,33.9646,-118.28994,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,55912.12356,0.006659513,0.006659513,0.005477808
1745,33.88007,-118.28995,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,53359.13274,0.003717153,0.003717153,0.002855937
1746,34.05666,-118.28996,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,19328.33199,0.010542791,0.010542791,0.008996481
1747,34.05903,-118.28997,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,58382.98354,0.010444426,0.010444426,0.008866294
1748,33.96216,-118.28997,2,L1,GWB,60X30,3600,L1-2S-60X30-GWB,4,25544.46115,0.006603742,0.006603742,0.005462237
1749,34.05432,-118.28998,3,L1,GWB,100X30,9000,L1-3S-100X30-GWB,9,46825.8096,0.010457043,0.010457043,0.008936769
1750,34.09452,-118.28999,2,L1,HWS,100X30,6000,L1-2S-100X30-HWS,6,31697.29453,0.010767712,0.010767712,0.009147904
1751,33.88097,-118.28999,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,35224.26733,0.003878385,0.003878385,0.002991567
1752,34.09376,-118.29001,2,L3,HWS,80X30,4800,L3-2S-80X30-HWS,5,31737.55888,0.010931197,0.010931197,0.009360982
1753,34.10784,-118.2901,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,19736.07949,0.011263395,0.011263395,0.00981028
1754,33.95216,-118.29011,2,L1,GWB,60X30,3600,L1-2S-60X30-GWB,4,27841.41996,0.0066366,0.0066366,0.005392628
1755,33.97848,-118.29012,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,35637.90893,0.006960362,0.006960362,0.00570701
1756,34.25355,-118.29014,3,L3,HWS,80X30,7200,L3-3S-80X30-HWS,7,38960.28262,0.009511885,0.009511885,0.008118277
1757,34.09001,-118.29015,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,19329.46019,0.010616396,0.010616396,0.008976714
1758,34.08901,-118.29015,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,30364.11966,0.010694544,0.010694544,0.009066818
1759,33.9621,-118.29015,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,31962.42656,0.006546986,0.006546986,0.005412391
1760,33.91667,-118.29015,3,L3,HWS,50X30,4500,L3-3S-50X30-HWS,4,25701.51735,0.005477836,0.005477836,0.004522451
1761,34.05838,-118.29016,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,64762.71439,0.01052363,0.01052363,0.008974512
1762,34.24923,-118.29017,3,L3,GWB,80X30,7200,L3-3S-80X30-GWB,7,42068.87259,0.009621529,0.009621529,0.008226984
1763,34.11084,-118.29017,3,L1,GWB,100X30,9000,L1-3S-100X30-GWB,9,57602.93572,0.011096326,0.011096326,0.00969878
1764,34.09376,-118.29018,3,L3,GWB,50X30,4500,L3-3S-50X30-GWB,4,23803.87375,0.010967162,0.010967162,0.009400285
1765,34.08175,-118.29021,2,L4,GWB,100X50,10000,L4-2S-100X50-GWB,10,61458.90661,0.010536121,0.010536121,0.008857172
1766,34.08753,-118.29025,2,L1,HWS,60X30,3600,L1-2S-60X30-HWS,4,25858.02695,0.010631649,0.01054459,0.009009079
1767,33.96636,-118.29028,2,L3,HWS,50X30,3000,L3-2S-50X30-HWS,3,18776.11392,0.00670589,0.00670589,0.005499927
1768,34.10795,-118.2903,2,L4,GWB,60X50,6000,L4-2S-60X50-GWB,6,33460.71811,0.011197903,0.011197903,0.009746718
1769,34.09003,-118.29031,3,L1,HWS,100X30,9000,L1-3S-100X30-HWS,9,48995.37344,0.010715896,0.010715896,0.009082189
1770,34.00339,-118.29033,3,L3,HWS,80X30,7200,L3-3S-80X30-HWS,7,43513.98969,0.007845211,0.007845211,0.006558804
1771,33.88092,-118.29034,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,55569.04602,0.00383133,0.00383133,0.002955946
1772,33.98306,-118.29037,2,L1,GWB,60X30,3600,L1-2S-60X30-GWB,4,24376.98877,0.007057086,0.007057086,0.005856915
1773,33.73528,-118.29042,3,L4,GWB,60X50,9000,L4-3S-60X50-GWB,9,57346.20585,0.003695683,0.003695683,0.002924264
1774,33.71128,-118.29044,3,L4,GWB,60X50,9000,L4-3S-60X50-GWB,9,49677.50774,0.003083954,0.003083954,0.002370687
1775,33.709,-118.29044,2,L1,GWB,60X30,3600,L1-2S-60X30-GWB,4,25121.07746,0.00297919,0.00297919,0.002252734
1776,33.9646,-118.29046,3,L3,HWS,50X30,4500,L3-3S-50X30-HWS,4,25629.33509,0.006662256,0.006629132,0.005466852
1777,34.10205,-118.29047,2,L1,HWS,60X30,3600,L1-2S-60X30-HWS,4,24924.45802,0.01075398,0.01075398,0.009269348
1778,34.08843,-118.29047,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,18714.91142,0.010728362,0.010728362,0.009098314
1779,33.9621,-118.29048,2,L3,GWB,50X30,3000,L3-2S-50X30-GWB,3,17994.66316,0.006670457,0.006670457,0.005528309
1780,34.10795,-118.2905,3,L4,HWS,100X50,15000,L4-3S-100X50-HWS,15,79450.0714,0.011220861,0.011220861,0.009783239
1781,33.88095,-118.29052,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,59592.19142,0.003809401,0.003809401,0.002930757
1782,34.09376,-118.29053,2,L4,HWS,60X50,6000,L4-2S-60X50-HWS,6,37951.10758,0.01095932,0.01095932,0.009367074
1783,34.08999,-118.29053,2,L3,GWB,80X30,4800,L3-2S-80X30-GWB,5,31935.37179,0.010741519,0.010741519,0.009106444
1784,34.10424,-118.2906,3,L3,GWB,50X30,4500,L3-3S-50X30-GWB,4,21953.22592,0.011215536,0.011215536,0.009738428
1785,33.88471,-118.29065,2,L4,HWS,100X50,10000,L4-2S-100X50-HWS,10,54787.2499,0.004468984,0.004468984,0.003417254
1786,33.73453,-118.29067,3,L1,HWS,100X30,9000,L1-3S-100X30-HWS,9,51095.68585,0.003744017,0.003744017,0.002982933
