,NumStory,SeismicWeight,peakstrength,drift@peakstrength,drift@80%peakstrength,drift@20%residualstrength,area
Building_T1-100x30-S2-GS_Variated9_4,1,233.0,0.6436054626609442,0.0103981,0.00523584,0.0433546,0.004805312901955783
Building_T1-100x30-S2-GS_Variated9_5,1,233.0,0.5959310927038627,0.0133432,0.00578474,0.04249,0.006064076730204556
Building_T1-100x30-S2-GS_Variated10_1,1,240.0,0.4968131575,0.0126493,0.00522761,0.0502396,0.00484422544138567
Building_T1-100x30-S2-GS_Variated10_2,1,240.0,0.5885104016666667,0.0107298,0.00564955,0.0448065,0.004486196912784187
Building_T1-100x30-S2-GS_Variated10_3,1,240.0,0.5100460883333333,0.0100541,0.00453425,0.0433851,0.0037950422294661676
Building_T1-100x30-S2-GS_Variated10_4,1,240.0,0.5264393083333333,0.0132578,0.00533276,0.0407361,0.005320945928606933
Building_T1-100x30-S2-GS_Variated10_5,1,240.0,0.5734816208333333,0.0125762,0.00577967,0.0498249,0.005383427459199808
Building_T1-100x30-S3-GS_Variated1_1,1,222.0,0.6669820333333334,0.0168522,0.00790381,0.0828831,0.008436901480378949
Building_T1-100x30-S3-GS_Variated1_2,1,222.0,0.5603681666666668,0.0177197,0.00728311,0.0550619,0.0076526539225268645
Building_T1-100x30-S3-GS_Variated1_3,1,222.0,0.5591387747747748,0.0151288,0.00686199,0.0544191,0.006285913135351597
Building_T1-100x30-S3-GS_Variated1_4,1,222.0,0.5976839846846846,0.0179791,0.00715123,0.0644063,0.008357269214446898
Building_T1-100x30-S3-GS_Variated1_5,1,222.0,0.6522810585585586,0.0178151,0.0106209,0.155342,0.008035626988754915
Building_T1-100x30-S3-GS_Variated2_1,1,221.0,0.6252166018099548,0.0166364,0.00749261,0.139242,0.007825519554308134
Building_T1-100x30-S3-GS_Variated2_2,1,221.0,0.6240782705882353,0.012372,0.00553627,0.0446403,0.0058034212115157715
Building_T1-100x30-S3-GS_Variated2_3,1,221.0,0.486349501357466,0.0147997,0.00599498,0.0465476,0.0055374631798165656
Building_T1-100x30-S3-GS_Variated2_4,1,221.0,0.49943050678733036,0.0136125,0.00612615,0.0647753,0.005161981751091571
Building_T1-100x30-S3-GS_Variated2_5,1,221.0,0.6174054769230769,0.0138453,0.00790716,0.133381,0.005969723714543927
Building_T1-100x30-S3-GS_Variated3_1,1,221.0,0.610247007239819,0.0113414,0.00477423,0.0482974,0.005300697925668214
Building_T1-100x30-S3-GS_Variated3_2,1,221.0,0.6674810642533936,0.011327,0.00573962,0.0566232,0.005468590850650636
